# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Nov  4 16:24:10 UTC 2025

38.60.193.247:13300 | 5109ms
47.74.254.191:8900 | 2462ms
129.150.58.86:57621 | 1118ms
146.235.18.248:45137 | 1341ms
138.2.89.238:43254 | 1155ms
213.35.108.135:12596 | 1110ms
178.128.80.43:443 | 1126ms
194.127.193.240:50791 | 1090ms
129.150.49.58:18650 | 1110ms
129.150.36.188:53435 | 1125ms
194.127.193.124:24467 | 1081ms
62.72.46.14:8443 | 1138ms
213.35.107.73:443 | 1109ms
138.2.95.61:1111 | 1719ms
168.138.170.211:53702 | 1167ms
45.32.100.46:13802 | 1471ms
8.219.1.169:443 | 532ms
45.76.183.217:49292 | 1149ms
8.222.220.81:25435 | 2701ms
8.219.58.164:57373 | 1090ms
158.178.243.152:61731 | 1147ms
168.138.181.188:61731 | 2364ms
194.36.178.36:8443 | 1155ms
91.192.81.154:2053 | 1127ms
143.198.196.196:8443 | 1142ms
158.178.236.14:61731 | 1144ms
138.2.89.64:32962 | 1108ms
138.2.69.236:23334 | 1808ms
143.198.196.196:2053 | 1129ms
143.42.66.91:443 | 2953ms
158.178.246.142:61731 | 1119ms
168.138.171.70:23280 | 1093ms
168.138.165.174:443 | 1117ms
164.52.2.100:443 | 522ms
164.52.2.98:443 | 554ms
164.52.2.99:443 | 511ms
194.36.178.36:2053 | 1126ms
194.36.179.5:2053 | 1212ms
194.36.179.17:2053 | 1147ms
194.36.179.17:8443 | 1171ms
213.35.100.31:47112 | 1167ms
104.248.145.216:443 | 5145ms
31.192.238.71:2053 | 1908ms
31.192.238.71:8443 | 1166ms
43.156.116.194:443 | 558ms
43.128.95.84:38091 | 3296ms
5.34.176.119:81 | 1174ms
83.142.30.129:2096 | 1099ms
43.156.181.203:443 | 556ms
83.142.30.4:2096 | 1006ms
91.192.81.154:8443 | 1177ms
185.81.28.95:30503 | 5060ms

# 📊 Statistics
# Total Tested: 52
# Working: 52
# Dead: 0
# Success Rate: 100%
# Validated: Tue Nov  4 16:25:39 UTC 2025
