# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Nov  6 06:30:23 UTC 2025

38.60.193.247:13300 | 1242ms
47.74.254.191:8900 | 1166ms
129.150.58.86:57621 | 1109ms
146.235.18.248:45137 | 1292ms
138.2.89.238:43254 | 1175ms
213.35.108.135:12596 | 1124ms
178.128.80.43:443 | 1134ms
194.127.193.240:50791 | 1104ms
129.150.49.58:18650 | 1132ms
129.150.36.188:53435 | 1151ms
62.72.46.14:8443 | 1195ms
194.127.193.124:24467 | 1133ms
213.35.107.73:443 | 1139ms
138.2.95.61:1111 | 1785ms
168.138.170.211:53702 | 1332ms
45.32.100.46:13802 | 1184ms
45.76.183.217:49292 | 1195ms
8.219.58.164:57373 | 1146ms
168.138.181.188:61731 | 1155ms
158.178.243.152:61731 | 1284ms
194.36.178.36:8443 | 1174ms
91.192.81.154:2053 | 1165ms
143.198.196.196:8443 | 1161ms
158.178.236.14:61731 | 1136ms
8.222.220.81:25435 | 2120ms
51.79.158.58:8443 | 1858ms
104.248.145.216:443 | 1159ms
138.2.89.64:32962 | 1606ms
138.2.69.236:23334 | 1323ms
143.198.196.196:2053 | 1181ms
146.235.19.79:28983 | 1113ms
143.42.66.91:443 | 1955ms
158.178.246.142:61731 | 1104ms
168.138.171.70:23280 | 1147ms
168.138.165.174:443 | 1170ms
164.52.2.100:443 | 528ms
164.52.2.99:443 | 545ms
164.52.2.98:443 | 539ms
194.36.178.36:2053 | 1184ms
194.36.179.5:2053 | 1154ms
194.36.179.17:2053 | 2585ms
194.36.179.17:8443 | 1182ms
213.35.100.31:47112 | 1206ms
43.156.116.194:443 | 513ms
31.192.238.71:2053 | 1127ms
31.192.238.71:8443 | 1191ms
43.156.181.203:443 | 538ms
43.128.95.84:38091 | 1137ms
5.34.176.119:81 | 1111ms
83.142.30.129:2096 | 1059ms
83.142.30.4:2096 | 1020ms
91.192.81.154:8443 | 1179ms
13.250.131.37:443 | 4497ms
51.79.158.58:2053 | 6239ms

# 📊 Statistics
# Total Tested: 54
# Working: 54
# Dead: 0
# Success Rate: 100%
# Validated: Thu Nov  6 06:31:48 UTC 2025
