# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Nov 18 10:23:04 UTC 2025

38.60.193.247:13300 | 1080ms
47.74.254.191:8900 | 1109ms
146.235.18.248:45137 | 1147ms
129.150.58.86:57621 | 1553ms
138.2.89.238:43254 | 1062ms
213.35.108.135:12596 | 1073ms
178.128.80.43:443 | 1227ms
47.236.119.190:51342 | 1343ms
129.150.49.58:18650 | 1133ms
129.150.36.188:53435 | 1132ms
62.72.46.14:8443 | 1264ms
194.127.193.124:24467 | 1017ms
194.127.193.240:50791 | 1465ms
213.35.107.73:443 | 1133ms
138.2.95.61:1111 | 1826ms
45.32.100.46:13802 | 1149ms
8.222.220.81:25435 | 1580ms
8.219.1.169:443 | 490ms
8.219.58.164:57373 | 1160ms
45.76.183.217:49292 | 1094ms
194.36.178.36:8443 | 1111ms
168.138.170.211:53702 | 1316ms
91.192.81.154:2053 | 1060ms
51.79.158.58:8443 | 1093ms
104.248.145.216:443 | 1045ms
138.2.89.64:32962 | 1079ms
138.2.69.236:23334 | 1161ms
143.42.66.91:443 | 2174ms
146.235.19.79:28983 | 1199ms
164.52.2.100:443 | 510ms
164.52.2.99:443 | 506ms
164.52.2.98:443 | 543ms
168.138.165.174:443 | 1020ms
168.138.171.70:23280 | 1060ms
194.36.178.36:2053 | 1153ms
213.35.100.31:47112 | 1092ms
185.81.28.95:30503 | 1260ms
31.192.238.71:2053 | 1155ms
31.192.238.71:8443 | 1113ms
43.128.95.84:38091 | 1133ms
43.156.181.203:443 | 517ms
43.156.116.194:443 | 513ms
5.34.176.119:81 | 1162ms
51.79.158.58:2053 | 1039ms
83.142.30.129:2096 | 1044ms
83.142.30.4:2096 | 1005ms
91.192.81.154:8443 | 1059ms

# 📊 Statistics
# Total Tested: 47
# Working: 47
# Dead: 0
# Success Rate: 100%
# Validated: Tue Nov 18 10:24:06 UTC 2025
