# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Nov 24 01:43:06 UTC 2025

38.60.193.247:13300 | 1145ms
47.74.254.191:8900 | 884ms
129.150.58.86:57621 | 922ms
146.235.18.248:45137 | 945ms
213.35.108.135:12596 | 874ms
138.2.89.238:43254 | 935ms
178.128.80.43:443 | 887ms
194.127.193.240:50791 | 917ms
47.236.119.190:51342 | 881ms
129.150.49.58:18650 | 931ms
194.127.193.124:24467 | 882ms
129.150.36.188:53435 | 878ms
62.72.46.14:8443 | 906ms
138.2.95.61:1111 | 1506ms
168.138.170.211:53702 | 881ms
45.32.100.46:13802 | 936ms
45.76.183.217:49292 | 874ms
8.222.220.81:25435 | 900ms
8.219.58.164:57373 | 864ms
194.36.178.36:8443 | 887ms
51.79.158.58:8443 | 1497ms
91.192.81.154:2053 | 914ms
104.248.145.216:443 | 916ms
138.2.89.64:32962 | 865ms
138.2.69.236:23334 | 880ms
146.235.19.79:28983 | 931ms
143.42.66.91:443 | 1358ms
168.138.171.70:23280 | 861ms
168.138.165.174:443 | 907ms
164.52.2.100:443 | 418ms
164.52.2.98:443 | 400ms
164.52.2.99:443 | 402ms
194.36.178.36:2053 | 882ms
185.81.28.95:30503 | 856ms
194.36.179.5:2053 | 866ms
194.36.179.17:2053 | 936ms
194.36.179.17:8443 | 869ms
213.35.100.31:47112 | 882ms
31.192.238.71:8443 | 856ms
31.192.238.71:2053 | 890ms
43.156.116.194:443 | 400ms
43.156.181.203:443 | 413ms
43.128.95.84:38091 | 1914ms
5.34.176.119:81 | 961ms
51.79.158.58:2053 | 1827ms
83.142.30.129:2096 | 850ms
83.142.30.4:2096 | 852ms
13.250.131.37:443 | 865ms

# 📊 Statistics
# Total Tested: 49
# Working: 48
# Dead: 1
# Success Rate: 97%
# Validated: Mon Nov 24 01:44:10 UTC 2025
