# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Nov 26 06:31:19 UTC 2025

38.60.193.247:13300 | 1244ms
47.74.254.191:8900 | 1162ms
129.150.58.86:57621 | 1210ms
138.2.89.238:43254 | 1131ms
213.35.108.135:12596 | 1140ms
178.128.80.43:443 | 1161ms
194.127.193.240:50791 | 1188ms
47.236.119.190:51342 | 1191ms
129.150.49.58:18650 | 1176ms
194.127.193.124:24467 | 1183ms
129.150.36.188:53435 | 1114ms
138.2.95.61:1111 | 1721ms
168.138.170.211:53702 | 1178ms
45.32.100.46:13802 | 1174ms
8.219.1.169:443 | 563ms
45.76.183.217:49292 | 1173ms
168.138.184.172:443 | 1907ms
8.222.220.81:25435 | 1194ms
8.219.58.164:57373 | 1164ms
194.36.178.36:8443 | 1210ms
51.79.158.58:8443 | 1686ms
104.248.145.216:443 | 1157ms
138.2.89.64:32962 | 1154ms
138.2.69.236:23334 | 1181ms
146.235.19.79:28983 | 1178ms
143.42.66.91:443 | 1259ms
168.138.171.70:23280 | 1156ms
168.138.165.174:443 | 1154ms
164.52.2.100:443 | 570ms
164.52.2.99:443 | 566ms
164.52.2.98:443 | 584ms
194.36.178.36:2053 | 1237ms
194.36.179.5:2053 | 1223ms
185.81.28.95:30503 | 1135ms
194.36.179.17:2053 | 1170ms
194.36.179.17:8443 | 1184ms
213.35.100.31:47112 | 1160ms
31.192.238.71:2053 | 1135ms
31.192.238.71:8443 | 1173ms
43.156.116.194:443 | 608ms
43.156.181.203:443 | 585ms
43.128.95.84:38091 | 1180ms
5.34.176.119:81 | 5070ms
83.142.30.129:2096 | 1071ms
83.142.30.4:2096 | 1067ms
91.192.81.154:8443 | 2336ms
13.250.131.37:443 | 1173ms
51.79.158.58:2053 | 3569ms

# 📊 Statistics
# Total Tested: 49
# Working: 48
# Dead: 1
# Success Rate: 97%
# Validated: Wed Nov 26 06:32:41 UTC 2025
