# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Nov 27 20:19:37 UTC 2025

38.60.193.247:13300 | 1201ms
47.74.254.191:8900 | 1071ms
129.150.58.86:57621 | 1066ms
146.235.18.248:45137 | 1076ms
213.35.108.135:12596 | 1061ms
138.2.89.238:43254 | 1066ms
178.128.80.43:443 | 1061ms
194.127.193.240:50791 | 1043ms
47.236.119.190:51342 | 1055ms
129.150.49.58:18650 | 1045ms
194.127.193.124:24467 | 1074ms
129.150.36.188:53435 | 1045ms
138.2.95.61:1111 | 1618ms
168.138.170.211:53702 | 1036ms
45.32.100.46:13802 | 1044ms
8.219.1.169:443 | 1045ms
45.76.183.217:49292 | 1065ms
8.222.220.81:25435 | 1041ms
8.219.58.164:57373 | 1079ms
194.36.178.36:8443 | 1034ms
51.79.158.58:8443 | 4068ms
91.192.81.154:2053 | 1032ms
104.248.145.216:443 | 1074ms
138.2.69.236:23334 | 1064ms
138.2.89.64:32962 | 1099ms
143.42.66.91:443 | 1209ms
146.235.19.79:28983 | 1033ms
168.138.165.174:443 | 1024ms
168.138.171.70:23280 | 1189ms
164.52.2.100:443 | 500ms
164.52.2.99:443 | 522ms
164.52.2.98:443 | 515ms
194.36.178.36:2053 | 1024ms
185.81.28.95:30503 | 1056ms
194.36.179.5:2053 | 1025ms
194.36.179.17:2053 | 1065ms
194.36.179.17:8443 | 1046ms
213.35.100.31:47112 | 1065ms
31.192.238.71:2053 | 1033ms
31.192.238.71:8443 | 1014ms
43.156.116.194:443 | 505ms
43.156.181.203:443 | 505ms
43.128.95.84:38091 | 1067ms
5.34.176.119:81 | 5086ms
83.142.30.129:2096 | 973ms
83.142.30.4:2096 | 1000ms
91.192.81.154:8443 | 1064ms
51.79.158.58:2053 | 1837ms
13.250.131.37:443 | 1047ms

# 📊 Statistics
# Total Tested: 49
# Working: 49
# Dead: 0
# Success Rate: 100%
# Validated: Thu Nov 27 20:20:45 UTC 2025
