# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Nov 28 12:40:29 UTC 2025

38.60.193.247:13300 | 950ms
47.74.254.191:8900 | 899ms
129.150.58.86:57621 | 860ms
146.235.18.248:45137 | 874ms
138.2.89.238:43254 | 919ms
213.35.108.135:12596 | 927ms
178.128.80.43:443 | 963ms
194.127.193.240:50791 | 903ms
47.236.119.190:51342 | 884ms
129.150.49.58:18650 | 918ms
129.150.36.188:53435 | 894ms
194.127.193.124:24467 | 900ms
138.2.95.61:1111 | 1507ms
168.138.170.211:53702 | 1044ms
45.32.100.46:13802 | 928ms
8.219.1.169:443 | 916ms
45.76.183.217:49292 | 923ms
8.222.220.81:25435 | 923ms
8.219.58.164:57373 | 928ms
194.36.178.36:8443 | 938ms
91.192.81.154:2053 | 927ms
51.79.158.58:8443 | 1270ms
104.248.145.216:443 | 927ms
138.2.89.64:32962 | 942ms
138.2.69.236:23334 | 1223ms
146.235.19.79:28983 | 948ms
143.42.66.91:443 | 2485ms
168.138.165.174:443 | 3968ms
168.138.171.70:23280 | 931ms
164.52.2.100:443 | 422ms
164.52.2.99:443 | 392ms
164.52.2.98:443 | 425ms
194.36.178.36:2053 | 936ms
185.81.28.95:30503 | 898ms
194.36.179.5:2053 | 899ms
194.36.179.17:2053 | 973ms
213.35.100.31:47112 | 1017ms
194.36.179.17:8443 | 949ms
31.192.238.71:2053 | 920ms
31.192.238.71:8443 | 927ms
43.156.116.194:443 | 443ms
43.128.95.84:38091 | 922ms
43.156.181.203:443 | 499ms
51.79.158.58:2053 | 846ms
5.34.176.119:81 | 969ms
83.142.30.129:2096 | 884ms
83.142.30.4:2096 | 883ms
91.192.81.154:8443 | 910ms

# 📊 Statistics
# Total Tested: 48
# Working: 48
# Dead: 0
# Success Rate: 100%
# Validated: Fri Nov 28 12:41:27 UTC 2025
