# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Dec  2 01:38:58 UTC 2025

38.60.193.247:13300 | 1250ms
47.74.254.191:8900 | 1146ms
129.150.58.86:57621 | 1195ms
146.235.18.248:45137 | 1208ms
138.2.89.238:43254 | 1141ms
213.35.108.135:12596 | 1133ms
178.128.80.43:443 | 1142ms
194.127.193.240:50791 | 1147ms
47.236.119.190:51342 | 1148ms
129.150.49.58:18650 | 1200ms
129.150.36.188:53435 | 1161ms
194.127.193.124:24467 | 1165ms
213.35.107.73:443 | 1183ms
138.2.95.61:1111 | 1748ms
168.138.170.211:53702 | 1162ms
45.32.100.46:13802 | 1142ms
45.76.183.217:49292 | 1179ms
8.222.220.81:25435 | 1156ms
51.79.158.58:8443 | 1178ms
8.219.58.164:57373 | 1148ms
194.36.178.36:8443 | 1164ms
91.192.81.154:2053 | 1191ms
104.248.145.216:443 | 1204ms
138.2.69.236:23334 | 1111ms
143.42.66.91:443 | 1561ms
146.235.19.79:28983 | 1172ms
168.138.171.70:23280 | 1163ms
168.138.165.174:443 | 1349ms
164.52.2.100:443 | 551ms
164.52.2.98:443 | 544ms
164.52.2.99:443 | 548ms
194.36.178.36:2053 | 1161ms
185.81.28.95:30503 | 1130ms
194.36.179.5:2053 | 1178ms
194.36.179.17:2053 | 1196ms
213.35.100.31:47112 | 1133ms
194.36.179.17:8443 | 1177ms
31.192.238.71:2053 | 1175ms
31.192.238.71:8443 | 1152ms
43.156.116.194:443 | 531ms
43.156.181.203:443 | 2594ms
43.128.95.84:38091 | 3695ms
51.79.158.58:2053 | 1126ms
83.142.30.129:2096 | 1090ms
83.142.30.4:2096 | 1070ms
13.250.131.37:443 | 1178ms

# 📊 Statistics
# Total Tested: 46
# Working: 46
# Dead: 0
# Success Rate: 100%
# Validated: Tue Dec  2 01:40:03 UTC 2025
