# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Dec  3 22:20:11 UTC 2025

38.60.193.247:13300 | 1266ms
47.74.254.191:8900 | 1178ms
129.150.58.86:57621 | 1130ms
146.235.18.248:45137 | 1187ms
138.2.89.238:43254 | 1146ms
213.35.108.135:12596 | 1161ms
178.128.80.43:443 | 1151ms
194.127.193.240:50791 | 1178ms
47.236.119.190:51342 | 1164ms
129.150.49.58:18650 | 1145ms
129.150.36.188:53435 | 1134ms
194.127.193.124:24467 | 1145ms
213.35.107.73:443 | 1158ms
168.138.170.211:53702 | 1171ms
138.2.95.61:1111 | 1760ms
45.32.100.46:13802 | 1151ms
8.219.1.169:443 | 547ms
45.76.183.217:49292 | 1173ms
168.138.184.172:443 | 1139ms
8.222.220.81:25435 | 1129ms
51.79.158.58:8443 | 1143ms
8.219.58.164:57373 | 1141ms
194.36.178.36:8443 | 1196ms
91.192.81.154:2053 | 1185ms
104.248.145.216:443 | 1131ms
138.2.69.236:23334 | 1152ms
146.235.19.79:28983 | 1134ms
143.42.66.91:443 | 1340ms
168.138.171.70:23280 | 1149ms
168.138.165.174:443 | 1154ms
194.36.178.36:2053 | 1184ms
164.52.2.100:443 | 566ms
164.52.2.99:443 | 572ms
164.52.2.98:443 | 564ms
185.81.28.95:30503 | 1123ms
194.36.179.5:2053 | 1165ms
213.35.100.31:47112 | 1142ms
31.192.238.71:2053 | 1190ms
31.192.238.71:8443 | 1188ms
43.156.116.194:443 | 533ms
43.156.181.203:443 | 571ms
43.128.95.84:38091 | 1116ms
51.79.158.58:2053 | 1162ms
5.34.176.119:81 | 9686ms
83.142.30.129:2096 | 1074ms
83.142.30.4:2096 | 1065ms
13.250.131.37:443 | 1191ms
194.36.179.17:8443 | 5059ms
194.36.179.17:2053 | 5062ms

# 📊 Statistics
# Total Tested: 49
# Working: 49
# Dead: 0
# Success Rate: 100%
# Validated: Wed Dec  3 22:21:31 UTC 2025
