# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Dec 12 01:41:52 UTC 2025

38.60.193.247:13300 | 1232ms
47.74.254.191:8900 | 1112ms
129.150.58.86:57621 | 1144ms
146.235.18.248:45137 | 1138ms
138.2.89.238:43254 | 1125ms
213.35.108.135:12596 | 1147ms
178.128.80.43:443 | 1111ms
194.127.193.240:50791 | 1153ms
47.236.119.190:51342 | 1109ms
129.150.49.58:18650 | 1114ms
194.127.193.124:24467 | 1125ms
129.150.36.188:53435 | 1125ms
213.35.107.73:443 | 1139ms
138.2.95.61:1111 | 1719ms
168.138.170.211:53702 | 1098ms
45.32.100.46:13802 | 1139ms
8.219.1.169:443 | 4317ms
45.76.183.217:49292 | 1102ms
168.138.184.172:443 | 527ms
8.222.220.81:25435 | 1144ms
8.219.58.164:57373 | 1104ms
194.36.178.36:8443 | 1124ms
91.192.81.154:2053 | 1104ms
51.79.158.58:8443 | 1239ms
104.248.145.216:443 | 1120ms
138.2.69.236:23334 | 1158ms
143.42.66.91:443 | 1358ms
146.235.19.79:28983 | 1139ms
164.52.2.100:443 | 548ms
168.138.171.70:23280 | 1116ms
164.52.2.98:443 | 540ms
168.138.165.174:443 | 2651ms
164.52.2.99:443 | 544ms
194.36.178.36:2053 | 1141ms
185.81.28.95:30503 | 1091ms
194.36.179.5:2053 | 1096ms
194.36.179.17:2053 | 1108ms
194.36.179.17:8443 | 1106ms
213.35.100.31:47112 | 1158ms
31.192.238.71:2053 | 1112ms
31.192.238.71:8443 | 1118ms
43.156.116.194:443 | 556ms
43.156.181.203:443 | 529ms
43.128.95.84:38091 | 1126ms
5.34.176.119:81 | 1158ms
13.250.131.37:443 | 525ms
51.79.158.58:2053 | 1498ms

# 📊 Statistics
# Total Tested: 47
# Working: 47
# Dead: 0
# Success Rate: 100%
# Validated: Fri Dec 12 01:42:57 UTC 2025
