# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Dec 14 12:38:31 UTC 2025

38.60.193.247:13300 | 4275ms
47.74.254.191:8900 | 1195ms
129.150.58.86:57621 | 1196ms
146.235.18.248:45137 | 1201ms
138.2.89.238:43254 | 1191ms
213.35.108.135:12596 | 1178ms
178.128.80.43:443 | 1213ms
194.127.193.240:50791 | 1152ms
47.236.119.190:51342 | 1177ms
129.150.49.58:18650 | 1171ms
129.150.36.188:53435 | 1238ms
194.127.193.124:24467 | 1142ms
138.2.95.61:1111 | 1761ms
213.35.107.73:443 | 1179ms
168.138.170.211:53702 | 1179ms
45.32.100.46:13802 | 1181ms
45.76.183.217:49292 | 1221ms
168.138.184.172:443 | 1215ms
8.222.220.81:25435 | 1137ms
8.219.58.164:57373 | 1209ms
194.36.178.36:8443 | 1231ms
91.192.81.154:2053 | 1188ms
104.248.145.216:443 | 1156ms
8.219.1.169:443 | 1138ms
138.2.69.236:23334 | 1195ms
143.42.66.91:443 | 2162ms
146.235.19.79:28983 | 1163ms
164.52.2.100:443 | 564ms
168.138.171.70:23280 | 1184ms
164.52.2.98:443 | 558ms
164.52.2.99:443 | 572ms
51.79.158.58:8443 | 4425ms
168.138.165.174:443 | 1167ms
194.36.178.36:2053 | 1202ms
194.36.179.5:2053 | 1189ms
185.81.28.95:30503 | 1144ms
194.36.179.17:2053 | 1209ms
194.36.179.17:8443 | 1195ms
213.35.100.31:47112 | 1199ms
31.192.238.71:2053 | 1185ms
31.192.238.71:8443 | 1191ms
43.156.116.194:443 | 573ms
43.156.181.203:443 | 562ms
43.128.95.84:38091 | 1134ms
5.34.176.119:81 | 1151ms
91.192.81.154:8443 | 963ms
51.79.158.58:2053 | 5056ms

# 📊 Statistics
# Total Tested: 47
# Working: 47
# Dead: 0
# Success Rate: 100%
# Validated: Sun Dec 14 12:39:45 UTC 2025
