# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Dec 25 01:43:05 UTC 2025

38.60.193.247:13300 | 6234ms
47.74.254.191:8900 | 1161ms
129.150.58.86:57621 | 1142ms
146.235.18.248:45137 | 1100ms
138.2.89.238:43254 | 1098ms
213.35.108.135:12596 | 1122ms
178.128.80.43:443 | 1128ms
194.127.193.240:50791 | 1132ms
47.236.119.190:51342 | 1149ms
129.150.49.58:18650 | 1166ms
129.150.36.188:53435 | 1118ms
194.127.193.124:24467 | 1118ms
138.2.95.61:1111 | 1711ms
45.32.100.46:13802 | 1134ms
168.138.170.211:53702 | 53ms
45.76.183.217:49292 | 1139ms
8.222.220.81:25435 | 1118ms
8.219.58.164:57373 | 1134ms
51.79.158.58:8443 | 1107ms
194.36.178.36:8443 | 1175ms
91.192.81.154:2053 | 1167ms
104.248.145.216:443 | 1113ms
138.2.69.236:23334 | 1151ms
146.235.19.79:28983 | 1142ms
143.42.66.91:443 | 2637ms
164.52.2.100:443 | 535ms
164.52.2.98:443 | 537ms
164.52.2.99:443 | 552ms
168.138.171.70:23280 | 60ms
194.36.178.36:2053 | 1132ms
185.81.28.95:30503 | 1075ms
194.36.179.5:2053 | 1152ms
194.36.179.17:2053 | 1178ms
194.36.179.17:8443 | 1147ms
213.35.100.31:47112 | 1149ms
31.192.238.71:2053 | 1153ms
31.192.238.71:8443 | 1150ms
43.156.116.194:443 | 527ms
43.128.95.84:38091 | 1112ms
43.156.181.203:443 | 516ms
51.79.158.58:2053 | 1892ms
5.34.176.119:81 | 1137ms
91.192.81.154:8443 | 1166ms
13.250.131.37:443 | 1091ms

# 📊 Statistics
# Total Tested: 44
# Working: 44
# Dead: 0
# Success Rate: 100%
# Validated: Thu Dec 25 01:44:06 UTC 2025
