# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Dec 29 06:35:43 UTC 2025

38.60.193.247:13300 | 5195ms
47.74.254.191:8900 | 1036ms
129.150.58.86:57621 | 1134ms
146.235.18.248:45137 | 1784ms
213.35.108.135:12596 | 2452ms
138.2.89.238:43254 | 1782ms
178.128.80.43:443 | 1056ms
194.127.193.240:50791 | 1063ms
47.236.119.190:51342 | 1011ms
129.150.49.58:18650 | 1086ms
129.150.36.188:53435 | 1706ms
194.127.193.124:24467 | 1044ms
138.2.95.61:1111 | 2058ms
168.138.170.211:53702 | 1095ms
45.32.100.46:13802 | 1010ms
168.138.184.172:443 | 1847ms
45.76.183.217:49292 | 1092ms
8.222.220.81:25435 | 1007ms
51.79.158.58:8443 | 1335ms
8.219.58.164:57373 | 1038ms
194.36.178.36:8443 | 1033ms
91.192.81.154:2053 | 1053ms
104.248.145.216:443 | 1107ms
138.2.69.236:23334 | 1132ms
146.235.19.79:28983 | 1104ms
143.42.66.91:443 | 3115ms
164.52.2.100:443 | 522ms
164.52.2.99:443 | 528ms
164.52.2.98:443 | 510ms
168.138.171.70:23280 | 1086ms
168.138.165.174:443 | 5519ms
194.36.178.36:2053 | 1022ms
194.36.179.5:2053 | 1065ms
185.81.28.95:30503 | 1073ms
194.36.179.17:2053 | 4541ms
194.36.179.17:8443 | 1788ms
213.35.100.31:47112 | 2147ms
31.192.238.71:2053 | 1079ms
31.192.238.71:8443 | 1053ms
43.156.116.194:443 | 531ms
43.156.181.203:443 | 500ms
43.128.95.84:38091 | 1056ms
51.79.158.58:2053 | 1094ms
5.34.176.119:81 | 1045ms
91.192.81.154:8443 | 941ms

# 📊 Statistics
# Total Tested: 45
# Working: 45
# Dead: 0
# Success Rate: 100%
# Validated: Mon Dec 29 06:36:59 UTC 2025
