# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Dec 30 01:43:29 UTC 2025

38.60.193.247:13300 | 9427ms
47.74.254.191:8900 | 926ms
129.150.58.86:57621 | 894ms
146.235.18.248:45137 | 2449ms
138.2.89.238:43254 | 938ms
213.35.108.135:12596 | 1057ms
178.128.80.43:443 | 2327ms
194.127.193.240:50791 | 926ms
47.236.119.190:51342 | 893ms
129.150.49.58:18650 | 974ms
129.150.36.188:53435 | 995ms
194.127.193.124:24467 | 909ms
138.2.95.61:1111 | 1564ms
168.138.170.211:53702 | 933ms
45.32.100.46:13802 | 979ms
45.76.183.217:49292 | 953ms
8.222.220.81:25435 | 940ms
8.219.58.164:57373 | 912ms
194.36.178.36:8443 | 929ms
91.192.81.154:2053 | 932ms
51.79.158.58:8443 | 1416ms
104.248.145.216:443 | 978ms
146.235.19.79:28983 | 967ms
143.42.66.91:443 | 1346ms
138.2.69.236:23334 | 2031ms
164.52.2.100:443 | 447ms
164.52.2.98:443 | 429ms
168.138.171.70:23280 | 927ms
164.52.2.99:443 | 456ms
194.36.178.36:2053 | 927ms
185.81.28.95:30503 | 891ms
194.36.179.5:2053 | 878ms
194.36.179.17:2053 | 918ms
194.36.179.17:8443 | 883ms
213.35.100.31:47112 | 904ms
31.192.238.71:8443 | 919ms
31.192.238.71:2053 | 902ms
43.156.116.194:443 | 438ms
43.156.181.203:443 | 434ms
43.128.95.84:38091 | 931ms
5.34.176.119:81 | 902ms
168.138.165.174:443 | 1023ms
13.250.131.37:443 | 424ms
91.192.81.154:8443 | 1040ms
51.79.158.58:2053 | 1284ms

# 📊 Statistics
# Total Tested: 45
# Working: 45
# Dead: 0
# Success Rate: 100%
# Validated: Tue Dec 30 01:44:32 UTC 2025
