# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Jan  4 22:19:55 UTC 2026

38.60.193.247:13300 | 6070ms
47.74.254.191:8900 | 985ms
129.150.58.86:57621 | 2475ms
138.2.89.238:43254 | 990ms
213.35.108.135:12596 | 954ms
194.127.193.240:50791 | 901ms
178.128.80.43:443 | 928ms
146.235.18.248:45137 | 1011ms
129.150.49.58:18650 | 992ms
194.127.193.124:24467 | 908ms
129.150.36.188:53435 | 925ms
138.2.95.61:1111 | 1558ms
168.138.170.211:53702 | 956ms
45.32.100.46:13802 | 941ms
47.236.119.190:51342 | 974ms
45.76.183.217:49292 | 962ms
8.222.220.81:25435 | 984ms
8.219.58.164:57373 | 952ms
51.79.158.58:8443 | 896ms
194.36.178.36:8443 | 939ms
91.192.81.154:2053 | 957ms
104.248.145.216:443 | 962ms
138.2.69.236:23334 | 2137ms
146.235.19.79:28983 | 968ms
164.52.2.98:443 | 421ms
164.52.2.99:443 | 447ms
168.138.171.70:23280 | 919ms
168.138.165.174:443 | 1002ms
143.42.66.91:443 | 1188ms
194.36.178.36:2053 | 901ms
185.81.28.95:30503 | 906ms
194.36.179.17:2053 | 943ms
194.36.179.5:2053 | 943ms
164.52.2.100:443 | 432ms
194.36.179.17:8443 | 898ms
213.35.100.31:47112 | 1487ms
31.192.238.71:2053 | 892ms
31.192.238.71:8443 | 893ms
43.156.116.194:443 | 451ms
43.156.181.203:443 | 468ms
43.128.95.84:38091 | 947ms
51.79.158.58:2053 | 905ms
5.34.176.119:81 | 867ms
91.192.81.154:8443 | 955ms
13.250.131.37:443 | 942ms

# 📊 Statistics
# Total Tested: 45
# Working: 45
# Dead: 0
# Success Rate: 100%
# Validated: Sun Jan  4 22:20:54 UTC 2026
