# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Jan  7 12:45:54 UTC 2026

38.60.193.247:13300 | 977ms
47.74.254.191:8900 | 902ms
129.150.58.86:57621 | 993ms
138.2.89.238:43254 | 983ms
213.35.108.135:12596 | 1587ms
178.128.80.43:443 | 3293ms
194.127.193.240:50791 | 917ms
146.235.18.248:45137 | 1013ms
129.150.49.58:18650 | 2032ms
194.127.193.124:24467 | 891ms
129.150.36.188:53435 | 1005ms
138.2.95.61:1111 | 2890ms
168.138.170.211:53702 | 1171ms
45.32.100.46:13802 | 1168ms
45.76.183.217:49292 | 2492ms
8.222.220.81:25435 | 899ms
51.79.158.58:8443 | 890ms
8.219.58.164:57373 | 891ms
194.36.178.36:8443 | 900ms
91.192.81.154:2053 | 1004ms
104.248.145.216:443 | 2001ms
138.2.69.236:23334 | 1164ms
146.235.19.79:28983 | 1154ms
143.42.66.91:443 | 1122ms
164.52.2.98:443 | 423ms
168.138.171.70:23280 | 994ms
168.138.165.174:443 | 2275ms
164.52.2.99:443 | 433ms
194.36.178.36:2053 | 903ms
185.81.28.95:30503 | 975ms
194.36.179.5:2053 | 884ms
194.36.179.17:2053 | 924ms
164.52.2.100:443 | 400ms
194.36.179.17:8443 | 946ms
213.35.100.31:47112 | 1029ms
31.192.238.71:2053 | 923ms
31.192.238.71:8443 | 880ms
43.156.116.194:443 | 426ms
43.156.181.203:443 | 432ms
43.128.95.84:38091 | 879ms
51.79.158.58:2053 | 896ms
13.250.131.37:443 | 416ms
5.34.176.119:81 | 1930ms

# 📊 Statistics
# Total Tested: 43
# Working: 43
# Dead: 0
# Success Rate: 100%
# Validated: Wed Jan  7 12:46:52 UTC 2026
