# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Jan  9 10:23:37 UTC 2026

38.60.193.247:13300 | 1390ms
47.74.254.191:8900 | 1175ms
129.150.58.86:57621 | 1158ms
146.235.18.248:45137 | 1185ms
138.2.89.238:43254 | 1163ms
213.35.108.135:12596 | 1191ms
178.128.80.43:443 | 1181ms
194.127.193.240:50791 | 1155ms
129.150.36.188:53435 | 1158ms
194.127.193.124:24467 | 1123ms
138.2.95.61:1111 | 1749ms
168.138.170.211:53702 | 1172ms
45.32.100.46:13802 | 1226ms
45.76.183.217:49292 | 1201ms
8.222.220.81:25435 | 1200ms
8.219.58.164:57373 | 1216ms
194.36.178.36:8443 | 1197ms
91.192.81.154:2053 | 1193ms
51.79.158.58:8443 | 4693ms
104.248.145.216:443 | 1156ms
143.42.66.91:443 | 1500ms
146.235.19.79:28983 | 1146ms
138.2.69.236:23334 | 7666ms
164.52.2.100:443 | 538ms
168.138.171.70:23280 | 1187ms
194.36.178.36:2053 | 1191ms
185.81.28.95:30503 | 1119ms
194.36.179.5:2053 | 1183ms
194.36.179.17:2053 | 1197ms
164.52.2.98:443 | 548ms
164.52.2.99:443 | 550ms
194.36.179.17:8443 | 1175ms
213.35.100.31:47112 | 1144ms
31.192.238.71:2053 | 1211ms
31.192.238.71:8443 | 1214ms
43.156.116.194:443 | 555ms
43.156.181.203:443 | 551ms
43.128.95.84:38091 | 1145ms
5.34.176.119:81 | 1166ms
168.138.165.174:443 | 3458ms
51.79.158.58:2053 | 2550ms

# 📊 Statistics
# Total Tested: 41
# Working: 41
# Dead: 0
# Success Rate: 100%
# Validated: Fri Jan  9 10:24:45 UTC 2026
