# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Jan 13 20:25:47 UTC 2026

38.60.193.247:13300 | 1226ms
47.74.254.191:8900 | 1114ms
146.235.18.248:45137 | 1213ms
138.2.89.238:43254 | 1144ms
213.35.108.135:12596 | 1168ms
129.150.58.86:57621 | 1114ms
178.128.80.43:443 | 1162ms
194.127.193.240:50791 | 1116ms
194.127.193.124:24467 | 1121ms
138.2.95.61:1111 | 1792ms
129.150.36.188:53435 | 1133ms
168.138.170.211:53702 | 1102ms
45.32.100.46:13802 | 1157ms
45.76.183.217:49292 | 1134ms
8.222.220.81:25435 | 1133ms
8.219.58.164:57373 | 1124ms
194.36.178.36:8443 | 1136ms
91.192.81.154:2053 | 1117ms
51.79.158.58:8443 | 1117ms
104.248.145.216:443 | 1157ms
138.2.69.236:23334 | 1156ms
146.235.19.79:28983 | 1154ms
164.52.2.100:443 | 543ms
143.42.66.91:443 | 1495ms
164.52.2.99:443 | 577ms
164.52.2.98:443 | 576ms
168.138.171.70:23280 | 1145ms
168.138.165.174:443 | 1155ms
194.36.178.36:2053 | 1118ms
185.81.28.95:30503 | 1187ms
194.36.179.5:2053 | 1112ms
194.36.179.17:2053 | 1117ms
194.36.179.17:8443 | 1146ms
213.35.100.31:47112 | 1137ms
31.192.238.71:2053 | 1110ms
31.192.238.71:8443 | 1154ms
43.156.116.194:443 | 541ms
43.156.181.203:443 | 582ms
43.128.95.84:38091 | 1114ms
51.79.158.58:2053 | 1109ms
5.34.176.119:81 | 1254ms
13.250.131.37:443 | 1143ms

# 📊 Statistics
# Total Tested: 42
# Working: 42
# Dead: 0
# Success Rate: 100%
# Validated: Tue Jan 13 20:26:42 UTC 2026
