# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Jan 14 18:33:56 UTC 2026

38.60.193.247:13300 | 1276ms
183.252.205.37:11101 | 5547ms
47.74.254.191:8900 | 1196ms
129.150.58.86:57621 | 1157ms
213.35.108.135:12596 | 1209ms
178.128.80.43:443 | 1205ms
194.127.193.240:50791 | 1143ms
138.2.89.238:43254 | 2508ms
194.127.193.124:24467 | 1143ms
146.235.18.248:45137 | 1196ms
129.150.36.188:53435 | 1143ms
45.32.100.46:13802 | 1173ms
45.76.183.217:49292 | 1213ms
168.138.170.211:53702 | 1147ms
8.222.220.81:25435 | 1172ms
8.219.58.164:57373 | 1156ms
194.36.178.36:8443 | 1235ms
91.192.81.154:2053 | 1207ms
51.79.158.58:8443 | 1586ms
104.248.145.216:443 | 1238ms
146.235.19.79:28983 | 1218ms
143.42.66.91:443 | 1240ms
164.52.2.100:443 | 563ms
164.52.2.99:443 | 562ms
164.52.2.98:443 | 566ms
138.2.69.236:23334 | 1192ms
168.138.165.174:443 | 1141ms
138.2.95.61:1111 | 1796ms
194.36.178.36:2053 | 1246ms
194.36.179.5:2053 | 1195ms
185.81.28.95:30503 | 1098ms
194.36.179.17:2053 | 1178ms
194.36.179.17:8443 | 1206ms
213.35.100.31:47112 | 1219ms
31.192.238.71:2053 | 1221ms
31.192.238.71:8443 | 4419ms
43.156.116.194:443 | 555ms
43.156.181.203:443 | 555ms
43.128.95.84:38091 | 1172ms
5.34.176.119:81 | 1185ms
51.79.158.58:2053 | 1459ms
13.250.131.37:443 | 572ms
168.138.171.70:23280 | 1201ms

# 📊 Statistics
# Total Tested: 43
# Working: 43
# Dead: 0
# Success Rate: 100%
# Validated: Wed Jan 14 18:35:03 UTC 2026
