# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Jan 15 10:25:38 UTC 2026

47.74.254.191:8900 | 1229ms
129.150.58.86:57621 | 1153ms
138.2.89.238:43254 | 1153ms
213.35.108.135:12596 | 1152ms
146.235.18.248:45137 | 1198ms
178.128.80.43:443 | 1146ms
194.127.193.240:50791 | 1153ms
194.127.193.124:24467 | 1152ms
138.2.95.61:1111 | 1764ms
129.150.36.188:53435 | 1168ms
45.32.100.46:13802 | 1231ms
168.138.170.211:53702 | 1141ms
8.219.1.169:443 | 1154ms
45.76.183.217:49292 | 1182ms
8.222.220.81:25435 | 1180ms
51.79.158.58:8443 | 1154ms
8.219.58.164:57373 | 1164ms
194.36.178.36:8443 | 1231ms
91.192.81.154:2053 | 1194ms
104.248.145.216:443 | 1189ms
138.2.69.236:23334 | 1144ms
146.235.19.79:28983 | 1210ms
164.52.2.100:443 | 563ms
164.52.2.99:443 | 549ms
164.52.2.98:443 | 549ms
168.138.171.70:23280 | 1165ms
194.36.178.36:2053 | 1228ms
185.81.28.95:30503 | 1119ms
194.36.179.5:2053 | 1173ms
194.36.179.17:2053 | 2092ms
143.42.66.91:443 | 1625ms
213.35.100.31:47112 | 1147ms
31.192.238.71:8443 | 1194ms
31.192.238.71:2053 | 1166ms
43.156.116.194:443 | 558ms
43.156.181.203:443 | 544ms
43.128.95.84:38091 | 1155ms
51.79.158.58:2053 | 1128ms
5.34.176.119:81 | 1173ms
168.138.165.174:443 | 1175ms

# 📊 Statistics
# Total Tested: 41
# Working: 40
# Dead: 1
# Success Rate: 97%
# Validated: Thu Jan 15 10:26:42 UTC 2026
