# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Jan 19 12:50:36 UTC 2026

38.60.193.247:13300 | 1634ms
47.74.254.191:8900 | 1036ms
129.150.58.86:57621 | 1064ms
138.2.89.238:43254 | 1044ms
213.35.108.135:12596 | 1100ms
146.235.18.248:45137 | 1058ms
178.128.80.43:443 | 1086ms
194.127.193.240:50791 | 1051ms
194.127.193.124:24467 | 1032ms
129.150.36.188:53435 | 1101ms
138.2.95.61:1111 | 1629ms
168.138.170.211:53702 | 1130ms
45.32.100.46:13802 | 1052ms
45.76.183.217:49292 | 1077ms
8.222.220.81:25435 | 1074ms
8.219.58.164:57373 | 1013ms
194.36.178.36:8443 | 1757ms
51.79.158.58:8443 | 1551ms
91.192.81.154:2053 | 3623ms
104.248.145.216:443 | 1042ms
143.42.66.91:443 | 1118ms
138.2.69.236:23334 | 1036ms
146.235.19.79:28983 | 1063ms
164.52.2.100:443 | 512ms
164.52.2.98:443 | 517ms
164.52.2.99:443 | 514ms
168.138.171.70:23280 | 1058ms
194.36.178.36:2053 | 2617ms
185.81.28.95:30503 | 1067ms
194.36.179.5:2053 | 3003ms
194.36.179.17:2053 | 9764ms
213.35.100.31:47112 | 1069ms
31.192.238.71:8443 | 1029ms
31.192.238.71:2053 | 1107ms
43.156.116.194:443 | 497ms
43.128.95.84:38091 | 1064ms
43.156.181.203:443 | 540ms
168.138.165.174:443 | 1170ms
5.34.176.119:81 | 1085ms
51.79.158.58:2053 | 1759ms
91.192.81.154:8443 | 909ms
13.250.131.37:443 | 1038ms

# 📊 Statistics
# Total Tested: 43
# Working: 42
# Dead: 1
# Success Rate: 97%
# Validated: Mon Jan 19 12:51:55 UTC 2026
