# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Jan 23 01:46:14 UTC 2026

38.60.193.247:13300 | 974ms
47.74.254.191:8900 | 870ms
129.150.58.86:57621 | 925ms
146.235.18.248:45137 | 921ms
138.2.89.238:43254 | 906ms
213.35.108.135:12596 | 922ms
178.128.80.43:443 | 919ms
194.127.193.240:50791 | 858ms
194.127.193.124:24467 | 851ms
129.150.36.188:53435 | 898ms
168.138.170.211:53702 | 923ms
138.2.95.61:1111 | 1517ms
45.32.100.46:13802 | 932ms
8.219.1.169:443 | 3772ms
45.76.183.217:49292 | 869ms
8.222.220.81:25435 | 886ms
8.219.58.164:57373 | 876ms
194.36.178.36:8443 | 877ms
91.192.81.154:2053 | 942ms
104.248.145.216:443 | 930ms
138.2.69.236:23334 | 912ms
146.235.19.79:28983 | 905ms
143.42.66.91:443 | 995ms
168.138.171.70:23280 | 884ms
168.138.165.174:443 | 889ms
194.36.178.36:2053 | 901ms
185.81.28.95:30503 | 898ms
164.52.2.100:443 | 438ms
164.52.2.99:443 | 469ms
194.36.179.5:2053 | 874ms
194.36.179.17:2053 | 920ms
164.52.2.98:443 | 456ms
194.36.179.17:8443 | 916ms
213.35.100.31:47112 | 940ms
51.79.158.58:8443 | 920ms
31.192.238.71:2053 | 895ms
31.192.238.71:8443 | 896ms
43.156.116.194:443 | 435ms
43.128.95.84:38091 | 895ms
5.34.176.119:81 | 908ms
13.250.131.37:443 | 407ms
51.79.158.58:2053 | 899ms

# 📊 Statistics
# Total Tested: 42
# Working: 42
# Dead: 0
# Success Rate: 100%
# Validated: Fri Jan 23 01:47:02 UTC 2026
