# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Jan 24 12:40:40 UTC 2026

38.60.193.247:13300 | 1234ms
47.74.254.191:8900 | 1100ms
129.150.58.86:57621 | 1160ms
146.235.18.248:45137 | 1156ms
138.2.89.238:43254 | 1126ms
213.35.108.135:12596 | 1163ms
178.128.80.43:443 | 1917ms
194.127.193.240:50791 | 1107ms
194.127.193.124:24467 | 1098ms
129.150.36.188:53435 | 1107ms
138.2.95.61:1111 | 1726ms
168.138.170.211:53702 | 1143ms
45.32.100.46:13802 | 1109ms
8.219.1.169:443 | 526ms
45.76.183.217:49292 | 1152ms
8.222.220.81:25435 | 1115ms
8.219.58.164:57373 | 1107ms
194.36.178.36:8443 | 1108ms
91.192.81.154:2053 | 1100ms
51.79.158.58:8443 | 1161ms
104.248.145.216:443 | 1130ms
138.2.69.236:23334 | 1144ms
146.235.19.79:28983 | 1143ms
143.42.66.91:443 | 1136ms
168.138.171.70:23280 | 1203ms
168.138.165.174:443 | 5539ms
194.36.178.36:2053 | 1110ms
185.81.28.95:30503 | 1179ms
194.36.179.5:2053 | 1102ms
194.36.179.17:2053 | 1094ms
164.52.2.100:443 | 532ms
164.52.2.99:443 | 540ms
164.52.2.98:443 | 530ms
194.36.179.17:8443 | 1111ms
213.35.100.31:47112 | 1134ms
31.192.238.71:2053 | 1098ms
31.192.238.71:8443 | 1102ms
43.156.116.194:443 | 538ms
43.156.181.203:443 | 515ms
43.128.95.84:38091 | 1178ms
51.79.158.58:2053 | 1094ms
91.192.81.154:8443 | 1102ms
13.250.131.37:443 | 1115ms

# 📊 Statistics
# Total Tested: 43
# Working: 43
# Dead: 0
# Success Rate: 100%
# Validated: Sat Jan 24 12:41:40 UTC 2026
