# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Jan 25 22:20:12 UTC 2026

129.150.58.86:57621 | 1201ms
146.235.18.248:45137 | 1071ms
138.2.89.238:43254 | 1040ms
213.35.108.135:12596 | 1075ms
178.128.80.43:443 | 1065ms
194.127.193.240:50791 | 1062ms
194.127.193.124:24467 | 1035ms
129.150.36.188:53435 | 1074ms
138.2.95.61:1111 | 1630ms
45.32.100.46:13802 | 1053ms
8.219.1.169:443 | 492ms
45.76.183.217:49292 | 5088ms
8.222.220.81:25435 | 1030ms
8.219.58.164:57373 | 1068ms
194.36.178.36:8443 | 1065ms
51.79.158.58:8443 | 1855ms
91.192.81.154:2053 | 1019ms
104.248.145.216:443 | 1063ms
138.2.69.236:23334 | 1034ms
143.42.66.91:443 | 1067ms
146.235.19.79:28983 | 1045ms
168.138.171.70:23280 | 1059ms
185.81.28.95:30503 | 1073ms
194.36.178.36:2053 | 1066ms
168.138.165.174:443 | 1329ms
194.36.179.5:2053 | 1028ms
194.36.179.17:2053 | 1012ms
164.52.2.100:443 | 528ms
164.52.2.98:443 | 520ms
164.52.2.99:443 | 530ms
194.36.179.17:8443 | 1006ms
213.35.100.31:47112 | 1070ms
31.192.238.71:2053 | 1026ms
31.192.238.71:8443 | 1022ms
43.156.116.194:443 | 523ms
43.128.95.84:38091 | 1058ms
43.156.181.203:443 | 513ms
5.34.176.119:81 | 1015ms
51.79.158.58:2053 | 1816ms

# 📊 Statistics
# Total Tested: 39
# Working: 39
# Dead: 0
# Success Rate: 100%
# Validated: Sun Jan 25 22:21:04 UTC 2026
