# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Feb  1 05:21:09 UTC 2026

38.60.193.247:13300 | 1239ms
183.252.205.37:11101 | 9340ms
47.74.254.191:8900 | 1160ms
129.150.58.86:57621 | 1224ms
146.235.18.248:45137 | 1153ms
138.2.89.238:43254 | 1178ms
213.35.108.135:12596 | 1191ms
178.128.80.43:443 | 1211ms
194.127.193.240:50791 | 1193ms
129.150.36.188:53435 | 1180ms
194.127.193.124:24467 | 1140ms
138.2.95.61:1111 | 1750ms
45.32.100.46:13802 | 1232ms
45.76.183.217:49292 | 1211ms
8.222.220.81:25435 | 1137ms
8.219.58.164:57373 | 1148ms
194.36.178.36:8443 | 1180ms
91.192.81.154:2053 | 1136ms
51.79.158.58:8443 | 1124ms
104.248.145.216:443 | 1168ms
138.2.69.236:23334 | 1159ms
146.235.19.79:28983 | 1170ms
143.42.66.91:443 | 1532ms
168.138.171.70:23280 | 1265ms
168.138.165.174:443 | 1227ms
194.36.178.36:2053 | 1144ms
194.36.179.5:2053 | 1177ms
164.52.2.100:443 | 565ms
185.81.28.95:30503 | 1197ms
194.36.179.17:2053 | 1144ms
164.52.2.99:443 | 564ms
164.52.2.98:443 | 552ms
194.36.179.17:8443 | 1129ms
213.35.100.31:47112 | 1140ms
31.192.238.71:2053 | 1152ms
31.192.238.71:8443 | 1153ms
43.156.116.194:443 | 587ms
43.156.181.203:443 | 551ms
43.128.95.84:38091 | 1219ms
5.34.176.119:81 | 1216ms
13.250.131.37:443 | 555ms
51.79.158.58:2053 | 1368ms

# 📊 Statistics
# Total Tested: 42
# Working: 42
# Dead: 0
# Success Rate: 100%
# Validated: Sun Feb  1 05:22:13 UTC 2026
