# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Feb  4 20:34:50 UTC 2026

38.60.193.247:13300 | 1013ms
47.74.254.191:8900 | 896ms
146.235.18.248:45137 | 930ms
129.150.58.86:57621 | 926ms
138.2.89.238:43254 | 910ms
213.35.108.135:12596 | 917ms
178.128.80.43:443 | 914ms
194.127.193.240:50791 | 937ms
129.150.36.188:53435 | 915ms
194.127.193.124:24467 | 918ms
138.2.95.61:1111 | 1521ms
45.32.100.46:13802 | 916ms
45.76.183.217:49292 | 912ms
8.222.220.81:25435 | 979ms
51.79.158.58:8443 | 890ms
8.219.58.164:57373 | 917ms
194.36.178.36:8443 | 951ms
91.192.81.154:2053 | 884ms
104.248.145.216:443 | 900ms
138.2.69.236:23334 | 951ms
146.235.19.79:28983 | 890ms
164.52.2.100:443 | 449ms
164.52.2.98:443 | 447ms
164.52.2.99:443 | 424ms
168.138.171.70:23280 | 942ms
168.138.165.174:443 | 885ms
143.42.66.91:443 | 1435ms
194.36.178.36:2053 | 890ms
185.81.28.95:30503 | 934ms
194.36.179.5:2053 | 888ms
213.35.100.31:47112 | 960ms
31.192.238.71:2053 | 935ms
31.192.238.71:8443 | 890ms
43.156.116.194:443 | 425ms
43.156.181.203:443 | 415ms
43.128.95.84:38091 | 913ms
51.79.158.58:2053 | 922ms
5.34.176.119:81 | 867ms
13.250.131.37:443 | 899ms

# 📊 Statistics
# Total Tested: 39
# Working: 39
# Dead: 0
# Success Rate: 100%
# Validated: Wed Feb  4 20:35:33 UTC 2026
