# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Feb  7 10:26:25 UTC 2026

38.60.193.247:13300 | 1095ms
47.74.254.191:8900 | 947ms
129.150.58.86:57621 | 889ms
146.235.18.248:45137 | 912ms
138.2.89.238:43254 | 983ms
213.35.108.135:12596 | 905ms
178.128.80.43:443 | 930ms
194.127.193.240:50791 | 918ms
161.117.249.114:2025 | 964ms
194.127.193.124:24467 | 889ms
129.150.36.188:53435 | 947ms
138.2.95.61:1111 | 1493ms
8.222.220.81:25435 | 1163ms
8.219.58.164:57373 | 942ms
51.79.158.58:8443 | 1003ms
194.36.178.36:8443 | 928ms
91.192.81.154:2053 | 891ms
104.248.145.216:443 | 957ms
138.2.69.236:23334 | 902ms
143.42.66.91:443 | 1007ms
146.235.19.79:28983 | 934ms
164.52.2.100:443 | 430ms
164.52.2.98:443 | 451ms
168.138.171.70:23280 | 906ms
168.138.165.174:443 | 910ms
45.76.183.217:49292 | 928ms
164.52.2.99:443 | 425ms
194.36.178.36:2053 | 927ms
185.81.28.95:30503 | 1823ms
194.36.179.5:2053 | 884ms
194.36.179.17:2053 | 5067ms
194.36.179.17:8443 | 2564ms
213.35.100.31:47112 | 926ms
31.192.238.71:8443 | 920ms
43.156.116.194:443 | 421ms
43.156.181.203:443 | 430ms
43.128.95.84:38091 | 907ms
5.34.176.119:81 | 910ms
51.79.158.58:2053 | 1417ms
13.250.131.37:443 | 898ms

# 📊 Statistics
# Total Tested: 40
# Working: 40
# Dead: 0
# Success Rate: 100%
# Validated: Sat Feb  7 10:27:16 UTC 2026
