# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Feb  9 13:09:25 UTC 2026

38.60.193.247:13300 | 6213ms
47.74.254.191:8900 | 1127ms
129.150.58.86:57621 | 1426ms
146.235.18.248:45137 | 1231ms
138.2.89.238:43254 | 1166ms
213.35.108.135:12596 | 1177ms
178.128.80.43:443 | 1202ms
194.127.193.240:50791 | 1250ms
161.117.249.114:2025 | 1142ms
129.150.36.188:53435 | 1230ms
194.127.193.124:24467 | 1126ms
138.2.95.61:1111 | 1795ms
45.32.100.46:13802 | 1210ms
45.76.183.217:49292 | 1212ms
8.222.220.81:25435 | 1155ms
194.36.178.36:8443 | 1174ms
51.79.158.58:8443 | 1727ms
91.192.81.154:2053 | 1150ms
104.248.145.216:443 | 1245ms
138.2.69.236:23334 | 1170ms
146.235.19.79:28983 | 1222ms
143.42.66.91:443 | 1664ms
164.52.2.100:443 | 529ms
164.52.2.98:443 | 524ms
164.52.2.99:443 | 555ms
168.138.171.70:23280 | 1154ms
168.138.165.174:443 | 1203ms
194.36.178.36:2053 | 1138ms
194.36.179.5:2053 | 1147ms
194.36.179.17:2053 | 1117ms
213.35.100.31:47112 | 1172ms
185.81.28.95:30503 | 1223ms
31.192.238.71:8443 | 1232ms
43.156.116.194:443 | 600ms
5.34.176.119:81 | 1226ms
51.79.158.58:2053 | 1695ms
13.250.131.37:443 | 554ms

# 📊 Statistics
# Total Tested: 38
# Working: 37
# Dead: 1
# Success Rate: 97%
# Validated: Mon Feb  9 13:10:31 UTC 2026
