# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Feb 10 20:43:26 UTC 2026

38.60.193.247:13300 | 1266ms
47.74.254.191:8900 | 1164ms
129.150.58.86:57621 | 1167ms
146.235.18.248:45137 | 1139ms
138.2.89.238:43254 | 1247ms
213.35.108.135:12596 | 1212ms
178.128.80.43:443 | 1164ms
194.127.193.240:50791 | 1141ms
161.117.249.114:2025 | 1165ms
129.150.36.188:53435 | 1152ms
194.127.193.124:24467 | 1129ms
138.2.95.61:1111 | 1786ms
45.32.100.46:13802 | 1203ms
45.76.183.217:49292 | 1175ms
8.222.220.81:25435 | 1226ms
51.79.158.58:8443 | 1680ms
194.36.178.36:8443 | 1207ms
91.192.81.154:2053 | 1169ms
104.248.145.216:443 | 1204ms
138.2.69.236:23334 | 1155ms
143.42.66.91:443 | 1213ms
146.235.19.79:28983 | 1156ms
164.52.2.100:443 | 539ms
164.52.2.99:443 | 542ms
164.52.2.98:443 | 550ms
168.138.171.70:23280 | 1179ms
168.138.165.174:443 | 1159ms
194.36.178.36:2053 | 1197ms
194.36.179.5:2053 | 1183ms
194.36.179.17:2053 | 1186ms
194.36.179.17:8443 | 1197ms
213.35.100.31:47112 | 1233ms
31.192.238.71:8443 | 1187ms
43.156.116.194:443 | 553ms
51.79.158.58:2053 | 1131ms
5.34.176.119:81 | 1199ms
13.250.131.37:443 | 1192ms

# 📊 Statistics
# Total Tested: 37
# Working: 37
# Dead: 0
# Success Rate: 100%
# Validated: Tue Feb 10 20:44:16 UTC 2026
