# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Feb 12 19:02:38 UTC 2026

38.60.193.247:13300 | 3451ms
47.74.254.191:8900 | 1028ms
129.150.58.86:57621 | 1034ms
146.235.18.248:45137 | 1013ms
138.2.89.238:43254 | 1007ms
213.35.108.135:12596 | 996ms
178.128.80.43:443 | 1001ms
194.127.193.240:50791 | 1003ms
161.117.249.114:2025 | 1019ms
194.127.193.124:24467 | 1001ms
138.2.95.61:1111 | 1592ms
129.150.36.188:53435 | 1045ms
45.32.100.46:13802 | 1039ms
45.76.183.217:49292 | 991ms
8.222.220.81:25435 | 1045ms
51.79.158.58:8443 | 1018ms
194.36.178.36:8443 | 1027ms
91.192.81.154:2053 | 1009ms
104.248.145.216:443 | 1008ms
146.235.19.79:28983 | 1076ms
164.52.2.100:443 | 497ms
143.42.66.91:443 | 1534ms
164.52.2.98:443 | 497ms
164.52.2.99:443 | 485ms
168.138.171.70:23280 | 1026ms
138.2.69.236:23334 | 995ms
168.138.165.174:443 | 1022ms
194.36.178.36:2053 | 999ms
185.81.28.95:30503 | 4546ms
194.36.179.5:2053 | 980ms
213.35.100.31:47112 | 1004ms
31.192.238.71:8443 | 981ms
43.156.181.203:443 | 486ms
43.156.116.194:443 | 498ms
51.79.158.58:2053 | 1014ms
5.34.176.119:81 | 983ms

# 📊 Statistics
# Total Tested: 36
# Working: 36
# Dead: 0
# Success Rate: 100%
# Validated: Thu Feb 12 19:03:27 UTC 2026
