# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Feb 21 01:59:47 UTC 2026

38.60.193.247:13300 | 5090ms
47.74.254.191:8900 | 1188ms
129.150.58.86:57621 | 1199ms
146.235.18.248:45137 | 1126ms
138.2.89.238:43254 | 1303ms
213.35.108.135:12596 | 1150ms
178.128.80.43:443 | 1076ms
161.117.249.114:2025 | 1214ms
129.150.36.188:53435 | 1149ms
194.127.193.124:24467 | 1081ms
138.2.95.61:1111 | 1784ms
45.32.100.46:13802 | 1175ms
45.76.183.217:49292 | 1291ms
194.36.178.36:8443 | 1253ms
51.79.158.58:8443 | 1566ms
91.192.81.154:2053 | 1169ms
104.248.145.216:443 | 1107ms
138.2.69.236:23334 | 1170ms
143.42.66.91:443 | 1323ms
146.235.19.79:28983 | 1229ms
164.52.2.100:443 | 529ms
164.52.2.98:443 | 550ms
164.52.2.99:443 | 623ms
168.138.171.70:23280 | 1160ms
168.138.165.174:443 | 1115ms
194.36.178.36:2053 | 1194ms
185.81.28.95:30503 | 1104ms
194.36.179.17:2053 | 1204ms
213.35.100.31:47112 | 1122ms
31.192.238.71:8443 | 1181ms
43.156.116.194:443 | 1337ms
43.156.181.203:443 | 555ms
5.34.176.119:81 | 1769ms
51.79.158.58:2053 | 1339ms
194.36.179.17:8443 | 2280ms

# 📊 Statistics
# Total Tested: 35
# Working: 35
# Dead: 0
# Success Rate: 100%
# Validated: Sat Feb 21 02:00:40 UTC 2026
