# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Feb 22 16:30:29 UTC 2026

38.60.193.247:13300 | 5086ms
47.74.254.191:8900 | 1235ms
146.235.18.248:45137 | 1190ms
129.150.58.86:57621 | 1266ms
138.2.89.238:43254 | 1126ms
213.35.108.135:12596 | 1113ms
178.128.80.43:443 | 1218ms
161.117.249.114:2025 | 1248ms
129.150.36.188:53435 | 1125ms
194.127.193.124:24467 | 1176ms
138.2.95.61:1111 | 1857ms
45.32.100.46:13802 | 1130ms
45.76.183.217:49292 | 1350ms
194.36.178.36:8443 | 1906ms
51.79.158.58:8443 | 1767ms
91.192.81.154:2053 | 1136ms
104.248.145.216:443 | 1083ms
143.42.66.91:443 | 1240ms
146.235.19.79:28983 | 1136ms
164.52.2.100:443 | 555ms
164.52.2.99:443 | 5059ms
168.138.171.70:23280 | 1112ms
168.138.165.174:443 | 1155ms
138.2.69.236:23334 | 1214ms
194.36.178.36:2053 | 1184ms
194.36.179.5:2053 | 1179ms
185.81.28.95:30503 | 1199ms
213.35.100.31:47112 | 1201ms
31.192.238.71:8443 | 1132ms
43.156.116.194:443 | 547ms
43.156.181.203:443 | 541ms
91.192.81.154:8443 | 1157ms
13.250.131.37:443 | 550ms
51.79.158.58:2053 | 1869ms
5.34.176.119:81 | 1140ms

# 📊 Statistics
# Total Tested: 35
# Working: 35
# Dead: 0
# Success Rate: 100%
# Validated: Sun Feb 22 16:31:26 UTC 2026
