# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Feb 25 19:06:03 UTC 2026

38.60.193.247:13300 | 2337ms
47.74.254.191:8900 | 1118ms
146.235.18.248:45137 | 1446ms
138.2.89.238:43254 | 1089ms
129.150.58.86:57621 | 1528ms
213.35.108.135:12596 | 1526ms
178.128.80.43:443 | 1381ms
194.127.193.240:50791 | 1245ms
194.127.193.124:24467 | 1097ms
161.117.249.114:2025 | 1777ms
213.35.107.73:443 | 885ms
129.150.36.188:53435 | 1404ms
138.2.95.61:1111 | 2077ms
45.32.100.46:13802 | 1091ms
45.76.183.217:49292 | 1309ms
194.36.178.36:8443 | 1205ms
91.192.81.154:2053 | 1073ms
104.248.145.216:443 | 1115ms
138.2.69.236:23334 | 1112ms
143.42.66.91:443 | 2025ms
146.235.19.79:28983 | 1164ms
164.52.2.100:443 | 520ms
168.138.171.70:23280 | 1125ms
164.52.2.98:443 | 539ms
164.52.2.99:443 | 521ms
168.138.165.174:443 | 1416ms
194.36.178.36:2053 | 1094ms
185.81.28.95:30503 | 1096ms
194.36.179.5:2053 | 1101ms
194.36.179.17:2053 | 1073ms
194.36.179.17:8443 | 1102ms
213.35.100.31:47112 | 1104ms
31.192.238.71:8443 | 1067ms
43.156.181.203:443 | 519ms
43.156.116.194:443 | 527ms
13.250.131.37:443 | 1103ms
5.34.176.119:81 | 1350ms
51.79.158.58:2053 | 2365ms

# 📊 Statistics
# Total Tested: 38
# Working: 38
# Dead: 0
# Success Rate: 100%
# Validated: Wed Feb 25 19:06:57 UTC 2026
