# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Mar  1 12:49:29 UTC 2026

38.60.193.247:13300 | 3022ms
47.74.254.191:8900 | 971ms
146.235.18.248:45137 | 962ms
129.150.58.86:57621 | 916ms
138.2.89.238:43254 | 948ms
213.35.108.135:12596 | 1006ms
178.128.80.43:443 | 914ms
194.127.193.240:50791 | 912ms
161.117.249.114:2025 | 910ms
129.150.36.188:53435 | 902ms
194.127.193.124:24467 | 867ms
138.2.95.61:1111 | 1485ms
213.35.107.73:443 | 1959ms
45.32.100.46:13802 | 927ms
45.76.183.217:49292 | 945ms
51.79.158.58:8443 | 885ms
194.36.178.36:8443 | 891ms
91.192.81.154:2053 | 931ms
104.248.145.216:443 | 893ms
138.2.69.236:23334 | 940ms
146.235.19.79:28983 | 905ms
164.52.2.100:443 | 411ms
164.52.2.98:443 | 459ms
143.42.66.91:443 | 924ms
164.52.2.99:443 | 474ms
168.138.171.70:23280 | 913ms
168.138.165.174:443 | 904ms
194.36.178.36:2053 | 930ms
194.36.179.5:2053 | 1109ms
185.81.28.95:30503 | 1164ms
213.35.100.31:47112 | 892ms
31.192.238.71:8443 | 888ms
43.156.116.194:443 | 423ms
43.156.181.203:443 | 432ms
51.79.158.58:2053 | 890ms
5.34.176.119:81 | 1398ms
13.250.131.37:443 | 889ms

# 📊 Statistics
# Total Tested: 37
# Working: 37
# Dead: 0
# Success Rate: 100%
# Validated: Sun Mar  1 12:50:13 UTC 2026
