# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Mar  4 14:37:18 UTC 2026

38.60.193.247:13300 | 4762ms
47.74.254.191:8900 | 877ms
129.150.58.86:57621 | 946ms
146.235.18.248:45137 | 2415ms
138.2.89.238:43254 | 846ms
213.35.108.135:12596 | 862ms
178.128.80.43:443 | 889ms
194.127.193.240:50791 | 876ms
161.117.249.114:2025 | 994ms
129.150.36.188:53435 | 936ms
194.127.193.124:24467 | 909ms
138.2.95.61:1111 | 2926ms
213.35.107.73:443 | 895ms
45.32.100.46:13802 | 879ms
45.76.183.217:49292 | 897ms
194.36.178.36:8443 | 875ms
91.192.81.154:2053 | 899ms
104.248.145.216:443 | 940ms
138.2.69.236:23334 | 865ms
146.235.19.79:28983 | 938ms
143.42.66.91:443 | 1046ms
164.52.2.100:443 | 462ms
164.52.2.99:443 | 433ms
168.138.165.174:443 | 1191ms
168.138.171.70:23280 | 959ms
164.52.2.98:443 | 430ms
194.36.178.36:2053 | 908ms
185.81.28.95:30503 | 1317ms
194.36.179.5:2053 | 896ms
194.36.179.17:2053 | 1139ms
194.36.179.17:8443 | 897ms
213.35.100.31:47112 | 873ms
31.192.238.71:8443 | 926ms
43.156.116.194:443 | 418ms
43.156.181.203:443 | 398ms
5.34.176.119:81 | 975ms
91.192.81.154:8443 | 1413ms
13.250.131.37:443 | 908ms
51.79.158.58:2053 | 5053ms

# 📊 Statistics
# Total Tested: 39
# Working: 39
# Dead: 0
# Success Rate: 100%
# Validated: Wed Mar  4 14:38:13 UTC 2026
