# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Mar  5 13:00:30 UTC 2026

38.60.193.247:13300 | 6857ms
47.74.254.191:8900 | 8558ms
146.235.18.248:45137 | 1040ms
129.150.58.86:57621 | 1043ms
138.2.89.238:43254 | 1005ms
213.35.108.135:12596 | 999ms
178.128.80.43:443 | 992ms
194.127.193.240:50791 | 1115ms
161.117.249.114:2025 | 4825ms
194.127.193.124:24467 | 1011ms
129.150.36.188:53435 | 1208ms
138.2.95.61:1111 | 1598ms
213.35.107.73:443 | 998ms
45.32.100.46:13802 | 1865ms
45.76.183.217:49292 | 2037ms
194.36.178.36:8443 | 1102ms
91.192.81.154:2053 | 2565ms
51.79.158.58:8443 | 5081ms
104.248.145.216:443 | 1010ms
138.2.69.236:23334 | 994ms
143.42.66.91:443 | 1492ms
146.235.19.79:28983 | 1037ms
164.52.2.100:443 | 487ms
164.52.2.98:443 | 496ms
164.52.2.99:443 | 480ms
168.138.171.70:23280 | 1033ms
168.138.165.174:443 | 1021ms
194.36.178.36:2053 | 2318ms
185.81.28.95:30503 | 1013ms
194.36.179.5:2053 | 984ms
194.36.179.17:2053 | 1015ms
194.36.179.17:8443 | 1007ms
213.35.100.31:47112 | 996ms
31.192.238.71:8443 | 1216ms
43.156.116.194:443 | 490ms
43.156.181.203:443 | 481ms
5.34.176.119:81 | 1009ms
13.250.131.37:443 | 993ms

# 📊 Statistics
# Total Tested: 38
# Working: 38
# Dead: 0
# Success Rate: 100%
# Validated: Thu Mar  5 13:01:41 UTC 2026
