# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Mar 18 20:36:54 UTC 2026

38.60.193.247:13300 | 1496ms
47.74.254.191:8900 | 1112ms
129.150.58.86:57621 | 1181ms
146.235.18.248:45137 | 1180ms
138.2.89.238:43254 | 1131ms
213.35.108.135:12596 | 1131ms
194.127.193.240:50791 | 1116ms
178.128.80.43:443 | 1117ms
161.117.249.114:2025 | 1160ms
194.127.193.124:24467 | 1154ms
129.150.36.188:53435 | 1156ms
138.2.95.61:1111 | 1709ms
213.35.107.73:443 | 1087ms
45.32.100.46:13802 | 1195ms
45.76.183.217:49292 | 1105ms
51.79.158.58:8443 | 1143ms
194.36.178.36:8443 | 1216ms
91.192.81.154:2053 | 1150ms
104.248.145.216:443 | 1168ms
146.235.19.79:28983 | 1171ms
164.52.2.100:443 | 524ms
164.52.2.98:443 | 544ms
164.52.2.99:443 | 545ms
168.138.171.70:23280 | 1149ms
168.138.165.174:443 | 1140ms
194.36.178.36:2053 | 1130ms
185.81.28.95:30503 | 1140ms
194.36.179.5:2053 | 322ms
143.42.66.91:443 | 1541ms
213.35.100.31:47112 | 1130ms
43.156.116.194:443 | 506ms
43.156.181.203:443 | 522ms
51.79.158.58:2053 | 1133ms
5.34.176.119:81 | 1182ms
13.250.131.37:443 | 1084ms
194.36.179.17:8443 | 1157ms
194.36.179.17:2053 | 1200ms

# 📊 Statistics
# Total Tested: 37
# Working: 37
# Dead: 0
# Success Rate: 100%
# Validated: Wed Mar 18 20:37:42 UTC 2026
