# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Mar 20 14:40:58 UTC 2026

47.74.254.191:8900 | 1140ms
129.150.58.86:57621 | 1069ms
146.235.18.248:45137 | 1114ms
138.2.89.238:43254 | 1007ms
213.35.108.135:12596 | 1025ms
178.128.80.43:443 | 1063ms
194.127.193.240:50791 | 1015ms
161.117.249.114:2025 | 1004ms
194.127.193.124:24467 | 1009ms
129.150.36.188:53435 | 1015ms
138.2.95.61:1111 | 1631ms
213.35.107.73:443 | 984ms
45.32.100.46:13802 | 1021ms
45.76.183.217:49292 | 1194ms
51.79.158.58:8443 | 982ms
194.36.178.36:8443 | 1001ms
91.192.81.154:2053 | 1012ms
104.248.145.216:443 | 982ms
146.235.19.79:28983 | 1030ms
164.52.2.100:443 | 504ms
164.52.2.98:443 | 508ms
164.52.2.99:443 | 481ms
168.138.171.70:23280 | 1072ms
143.42.66.91:443 | 1273ms
194.36.178.36:2053 | 995ms
185.81.28.95:30503 | 1001ms
194.36.179.17:2053 | 5759ms
194.36.179.17:8443 | 1267ms
213.35.100.31:47112 | 981ms
168.138.165.174:443 | 1023ms
43.156.116.194:443 | 493ms
43.156.181.203:443 | 509ms
51.79.158.58:2053 | 1008ms
5.34.176.119:81 | 1240ms

# 📊 Statistics
# Total Tested: 34
# Working: 34
# Dead: 0
# Success Rate: 100%
# Validated: Fri Mar 20 14:41:43 UTC 2026
