# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat Mar 21 18:36:25 UTC 2026

47.74.254.191:8900 | 1113ms
129.150.58.86:57621 | 1035ms
146.235.18.248:45137 | 1042ms
138.2.89.238:43254 | 984ms
213.35.108.135:12596 | 1039ms
178.128.80.43:443 | 1016ms
194.127.193.240:50791 | 1000ms
161.117.249.114:2025 | 1041ms
194.127.193.124:24467 | 1023ms
129.150.36.188:53435 | 1028ms
138.2.95.61:1111 | 1624ms
213.35.107.73:443 | 1043ms
45.32.100.46:13802 | 983ms
45.76.183.217:49292 | 1042ms
51.79.158.58:8443 | 1005ms
194.36.178.36:8443 | 1020ms
91.192.81.154:2053 | 1034ms
104.248.145.216:443 | 1033ms
146.235.19.79:28983 | 1020ms
164.52.2.100:443 | 490ms
168.138.171.70:23280 | 1051ms
164.52.2.98:443 | 477ms
168.138.165.174:443 | 1025ms
164.52.2.99:443 | 478ms
194.36.178.36:2053 | 1048ms
185.81.28.95:30503 | 1073ms
143.42.66.91:443 | 2380ms
194.36.179.17:8443 | 3623ms
213.35.100.31:47112 | 994ms
194.36.179.17:2053 | 6308ms
43.156.116.194:443 | 475ms
43.156.181.203:443 | 493ms
51.79.158.58:2053 | 1017ms
5.34.176.119:81 | 1072ms
13.250.131.37:443 | 984ms
91.192.81.154:8443 | 1047ms

# 📊 Statistics
# Total Tested: 36
# Working: 36
# Dead: 0
# Success Rate: 100%
# Validated: Sat Mar 21 18:37:17 UTC 2026
