# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Mar 24 19:03:05 UTC 2026

38.60.193.247:13300 | 6171ms
47.74.254.191:8900 | 1088ms
129.150.58.86:57621 | 1103ms
146.235.18.248:45137 | 1156ms
138.2.89.238:43254 | 1139ms
213.35.108.135:12596 | 1177ms
178.128.80.43:443 | 1090ms
194.127.193.240:50791 | 1269ms
161.117.249.114:2025 | 1108ms
194.127.193.124:24467 | 1136ms
129.150.36.188:53435 | 1120ms
138.2.95.61:1111 | 1707ms
213.35.107.73:443 | 1169ms
45.32.100.46:13802 | 1140ms
45.76.183.217:49292 | 1154ms
51.79.158.58:8443 | 1087ms
194.36.178.36:8443 | 1189ms
91.192.81.154:2053 | 1159ms
104.248.145.216:443 | 1110ms
146.235.19.79:28983 | 1169ms
143.42.66.91:443 | 3024ms
164.52.2.100:443 | 509ms
164.52.2.98:443 | 534ms
168.138.171.70:23280 | 1136ms
164.52.2.99:443 | 535ms
168.138.165.174:443 | 1446ms
194.36.178.36:2053 | 1157ms
185.81.28.95:30503 | 1059ms
194.36.179.17:2053 | 1129ms
194.36.179.17:8443 | 1149ms
213.35.100.31:47112 | 1124ms
43.156.116.194:443 | 540ms
43.156.181.203:443 | 523ms
51.79.158.58:2053 | 1108ms
5.34.176.119:81 | 1431ms
13.250.131.37:443 | 1083ms

# 📊 Statistics
# Total Tested: 36
# Working: 36
# Dead: 0
# Success Rate: 100%
# Validated: Tue Mar 24 19:03:58 UTC 2026
