# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Mar 26 10:52:00 UTC 2026

38.60.193.247:13300 | 5112ms
47.74.254.191:8900 | 951ms
129.150.58.86:57621 | 924ms
146.235.18.248:45137 | 909ms
138.2.89.238:43254 | 808ms
213.35.108.135:12596 | 887ms
178.128.80.43:443 | 824ms
194.127.193.240:50791 | 908ms
161.117.249.114:2025 | 935ms
129.150.36.188:53435 | 934ms
194.127.193.124:24467 | 873ms
213.35.107.73:443 | 826ms
138.2.95.61:1111 | 1403ms
45.32.100.46:13802 | 831ms
45.76.183.217:49292 | 981ms
51.79.158.58:8443 | 855ms
194.36.178.36:8443 | 944ms
91.192.81.154:2053 | 822ms
104.248.145.216:443 | 798ms
143.42.66.91:443 | 910ms
146.235.19.79:28983 | 968ms
164.52.2.100:443 | 431ms
164.52.2.99:443 | 436ms
164.52.2.98:443 | 438ms
168.138.171.70:23280 | 958ms
168.138.165.174:443 | 1201ms
194.36.178.36:2053 | 932ms
185.81.28.95:30503 | 1070ms
194.36.179.17:2053 | 946ms
194.36.179.17:8443 | 916ms
213.35.100.31:47112 | 812ms
43.156.116.194:443 | 397ms
43.156.181.203:443 | 397ms
51.79.158.58:2053 | 891ms
5.34.176.119:81 | 1034ms
91.192.81.154:8443 | 966ms

# 📊 Statistics
# Total Tested: 36
# Working: 36
# Dead: 0
# Success Rate: 100%
# Validated: Thu Mar 26 10:52:42 UTC 2026
