# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Apr  3 05:41:43 UTC 2026

38.60.193.247:13300 | 6200ms
47.74.254.191:8900 | 1085ms
129.150.58.86:57621 | 1131ms
146.235.18.248:45137 | 1122ms
138.2.89.238:43254 | 1100ms
178.128.80.43:443 | 1117ms
194.127.193.240:50791 | 1114ms
161.117.249.114:2025 | 1092ms
129.150.36.188:53435 | 1094ms
138.2.95.61:1111 | 1682ms
45.32.100.46:13802 | 1166ms
45.76.183.217:49292 | 1160ms
51.79.158.58:8443 | 1131ms
91.192.81.154:2053 | 1117ms
104.248.145.216:443 | 1124ms
146.235.19.79:28983 | 1108ms
164.52.2.100:443 | 545ms
164.52.2.99:443 | 540ms
164.52.2.98:443 | 512ms
143.42.66.91:443 | 1579ms
168.138.171.70:23280 | 1098ms
168.138.165.174:443 | 1379ms
185.81.28.95:30503 | 1082ms
213.35.100.31:47112 | 1081ms
43.156.181.203:443 | 558ms
43.156.116.194:443 | 521ms
51.79.158.58:2053 | 1105ms
5.34.176.119:81 | 1122ms
91.192.81.154:8443 | 1106ms
13.250.131.37:443 | 523ms

# 📊 Statistics
# Total Tested: 30
# Working: 30
# Dead: 0
# Success Rate: 100%
# Validated: Fri Apr  3 05:42:26 UTC 2026
