# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Apr  5 14:35:28 UTC 2026

38.60.193.247:13300 | 5096ms
47.74.254.191:8900 | 869ms
129.150.58.86:57621 | 859ms
146.235.18.248:45137 | 894ms
138.2.89.238:43254 | 872ms
178.128.80.43:443 | 862ms
194.127.193.240:50791 | 881ms
161.117.249.114:2025 | 877ms
129.150.36.188:53435 | 994ms
138.2.95.61:1111 | 1443ms
45.32.100.46:13802 | 881ms
45.76.183.217:49292 | 877ms
51.79.158.58:8443 | 858ms
91.192.81.154:2053 | 863ms
104.248.145.216:443 | 862ms
146.235.19.79:28983 | 1010ms
164.52.2.100:443 | 410ms
164.52.2.98:443 | 422ms
164.52.2.99:443 | 416ms
143.42.66.91:443 | 872ms
168.138.171.70:23280 | 868ms
168.138.165.174:443 | 1191ms
185.81.28.95:30503 | 870ms
194.36.179.17:2053 | 874ms
194.36.179.17:8443 | 887ms
213.35.100.31:47112 | 849ms
43.156.116.194:443 | 409ms
43.156.181.203:443 | 402ms
51.79.158.58:2053 | 850ms
5.34.176.119:81 | 891ms
13.250.131.37:443 | 856ms

# 📊 Statistics
# Total Tested: 31
# Working: 31
# Dead: 0
# Success Rate: 100%
# Validated: Sun Apr  5 14:36:05 UTC 2026
