# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Apr 13 19:13:33 UTC 2026

38.60.193.247:13300 | 5591ms
47.74.254.191:8900 | 991ms
129.150.58.86:57621 | 1015ms
146.235.18.248:45137 | 1041ms
138.2.89.238:43254 | 1010ms
178.128.80.43:443 | 1014ms
194.127.193.240:50791 | 1012ms
129.150.36.188:53435 | 1028ms
138.2.95.61:1111 | 1596ms
45.32.100.46:13802 | 973ms
45.76.183.217:49292 | 977ms
51.79.158.58:8443 | 1025ms
91.192.81.154:2053 | 1002ms
104.248.145.216:443 | 995ms
146.235.19.79:28983 | 1026ms
143.42.66.91:443 | 1276ms
164.52.2.100:443 | 511ms
164.52.2.98:443 | 498ms
164.52.2.99:443 | 501ms
168.138.171.70:23280 | 1026ms
168.138.165.174:443 | 1062ms
185.81.28.95:30503 | 973ms
194.36.179.17:2053 | 985ms
194.36.179.17:8443 | 998ms
213.35.100.31:47112 | 985ms
43.156.116.194:443 | 490ms
43.156.181.203:443 | 483ms
51.79.158.58:2053 | 1000ms
5.34.176.119:81 | 1041ms
13.250.131.37:443 | 987ms

# 📊 Statistics
# Total Tested: 30
# Working: 30
# Dead: 0
# Success Rate: 100%
# Validated: Mon Apr 13 19:14:12 UTC 2026
