# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Apr 14 08:00:27 UTC 2026

38.60.193.247:13300 | 5246ms
47.74.254.191:8900 | 1003ms
129.150.58.86:57621 | 1032ms
146.235.18.248:45137 | 1017ms
138.2.89.238:43254 | 994ms
178.128.80.43:443 | 990ms
194.127.193.240:50791 | 1016ms
129.150.36.188:53435 | 1045ms
138.2.95.61:1111 | 1592ms
45.32.100.46:13802 | 990ms
45.76.183.217:49292 | 1003ms
51.79.158.58:8443 | 1015ms
91.192.81.154:2053 | 1034ms
104.248.145.216:443 | 995ms
146.235.19.79:28983 | 1050ms
143.42.66.91:443 | 1728ms
164.52.2.100:443 | 495ms
164.52.2.98:443 | 510ms
164.52.2.99:443 | 507ms
168.138.171.70:23280 | 1011ms
168.138.165.174:443 | 1179ms
185.81.28.95:30503 | 985ms
213.35.100.31:47112 | 998ms
43.156.116.194:443 | 479ms
43.156.181.203:443 | 480ms
51.79.158.58:2053 | 1008ms
5.34.176.119:81 | 1020ms
91.192.81.154:8443 | 1002ms
13.250.131.37:443 | 984ms
194.36.179.17:8443 | 1011ms
194.36.179.17:2053 | 999ms

# 📊 Statistics
# Total Tested: 31
# Working: 31
# Dead: 0
# Success Rate: 100%
# Validated: Tue Apr 14 08:01:08 UTC 2026
