# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Apr 17 16:54:27 UTC 2026

38.60.193.247:13300 | 5291ms
47.74.254.191:8900 | 900ms
129.150.58.86:57621 | 1022ms
138.2.89.238:43254 | 869ms
178.128.80.43:443 | 1044ms
129.150.36.188:53435 | 853ms
138.2.95.61:1111 | 1454ms
45.32.100.46:13802 | 902ms
45.76.183.217:49292 | 886ms
51.79.158.58:8443 | 877ms
91.192.81.154:2053 | 907ms
104.248.145.216:443 | 856ms
146.235.19.79:28983 | 865ms
143.42.66.91:443 | 1477ms
164.52.2.98:443 | 416ms
164.52.2.100:443 | 398ms
168.138.171.70:23280 | 882ms
164.52.2.99:443 | 410ms
168.138.165.174:443 | 1096ms
185.81.28.95:30503 | 866ms
194.36.179.17:2053 | 850ms
194.36.179.17:8443 | 876ms
213.35.100.31:47112 | 858ms
43.156.181.203:443 | 405ms
43.156.116.194:443 | 395ms
51.79.158.58:2053 | 853ms
5.34.176.119:81 | 891ms
13.250.131.37:443 | 3779ms
91.192.81.154:8443 | 854ms

# 📊 Statistics
# Total Tested: 29
# Working: 29
# Dead: 0
# Success Rate: 100%
# Validated: Fri Apr 17 16:55:05 UTC 2026
