# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Apr 29 22:56:12 UTC 2026

38.60.193.247:13300 | 163ms
47.74.254.191:8900 | 113ms
146.235.18.248:45137 | 101ms
129.150.58.86:57621 | 115ms
213.35.108.135:12596 | 84ms
138.2.89.238:43254 | 98ms
194.127.193.240:50791 | 108ms
178.128.80.43:443 | 106ms
138.2.74.219:28616 | 114ms
129.150.36.188:53435 | 94ms
138.2.95.61:1111 | 103ms
45.76.183.217:49292 | 83ms
51.79.158.58:8443 | 110ms
91.192.81.154:2053 | 95ms
104.248.145.216:443 | 112ms
146.235.19.79:28983 | 98ms
164.52.2.100:443 | 113ms
164.52.2.98:443 | 89ms
168.138.171.70:23280 | 90ms
164.52.2.99:443 | 103ms
143.42.66.91:443 | 100ms
168.138.165.174:443 | 76ms
185.81.28.95:30503 | 83ms
194.36.179.17:2053 | 80ms
194.36.179.17:8443 | 92ms
213.35.100.31:47112 | 88ms
43.156.116.194:443 | 74ms
43.156.181.203:443 | 81ms
51.79.158.58:2053 | 83ms
5.34.176.119:81 | 97ms
13.250.131.37:443 | 86ms

# 📊 Statistics
# Total Tested: 31
# Working: 31
# Dead: 0
# Success Rate: 100%
# Validated: Wed Apr 29 22:56:22 UTC 2026
