# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Apr 30 10:05:41 UTC 2026

38.60.193.247:13300 | 104ms
129.150.58.86:57621 | 62ms
47.74.254.191:8900 | 78ms
146.235.18.248:45137 | 56ms
138.2.89.238:43254 | 54ms
213.35.108.135:12596 | 70ms
178.128.80.43:443 | 66ms
194.127.193.240:50791 | 55ms
138.2.74.219:28616 | 51ms
129.150.36.188:53435 | 55ms
138.2.95.61:1111 | 71ms
45.76.183.217:49292 | 65ms
51.79.158.58:8443 | 53ms
91.192.81.154:2053 | 57ms
104.248.145.216:443 | 56ms
143.42.66.91:443 | 56ms
146.235.19.79:28983 | 60ms
164.52.2.100:443 | 54ms
164.52.2.98:443 | 69ms
168.138.171.70:23280 | 55ms
164.52.2.99:443 | 64ms
185.81.28.95:30503 | 56ms
194.36.179.17:2053 | 57ms
194.36.179.17:8443 | 54ms
213.35.100.31:47112 | 53ms
43.156.116.194:443 | 56ms
43.156.181.203:443 | 69ms
168.138.165.174:443 | 56ms
51.79.158.58:2053 | 56ms
5.34.176.119:81 | 57ms
91.192.81.154:8443 | 51ms

# 📊 Statistics
# Total Tested: 31
# Working: 31
# Dead: 0
# Success Rate: 100%
# Validated: Thu Apr 30 10:05:50 UTC 2026
