# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri May  1 22:50:23 UTC 2026

38.60.193.247:13300 | 122ms
47.74.254.191:8900 | 61ms
129.150.58.86:57621 | 59ms
146.235.18.248:45137 | 70ms
138.2.89.238:43254 | 69ms
213.35.108.135:12596 | 54ms
178.128.80.43:443 | 51ms
194.127.193.240:50791 | 67ms
138.2.74.219:28616 | 68ms
129.150.36.188:53435 | 56ms
138.2.95.61:1111 | 54ms
45.76.183.217:49292 | 63ms
51.79.158.58:8443 | 53ms
91.192.81.154:2053 | 55ms
104.248.145.216:443 | 51ms
146.235.19.79:28983 | 53ms
143.42.66.91:443 | 53ms
164.52.2.100:443 | 56ms
164.52.2.98:443 | 57ms
164.52.2.99:443 | 52ms
168.138.171.70:23280 | 55ms
185.81.28.95:30503 | 56ms
194.36.179.17:2053 | 54ms
194.36.179.17:8443 | 50ms
213.35.100.31:47112 | 63ms
43.156.116.194:443 | 57ms
43.156.181.203:443 | 56ms
51.79.158.58:2053 | 53ms
168.138.165.174:443 | 54ms
5.34.176.119:81 | 50ms

# 📊 Statistics
# Total Tested: 30
# Working: 30
# Dead: 0
# Success Rate: 100%
# Validated: Fri May  1 22:50:31 UTC 2026
