# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat May  2 20:40:55 UTC 2026

38.60.193.247:13300 | 171ms
47.74.254.191:8900 | 92ms
129.150.58.86:57621 | 115ms
146.235.18.248:45137 | 86ms
138.2.89.238:43254 | 101ms
213.35.108.135:12596 | 110ms
178.128.80.43:443 | 108ms
194.127.193.240:50791 | 87ms
138.2.74.219:28616 | 82ms
129.150.36.188:53435 | 88ms
138.2.95.61:1111 | 92ms
45.76.183.217:49292 | 85ms
51.79.158.58:8443 | 90ms
91.192.81.154:2053 | 105ms
104.248.145.216:443 | 93ms
146.235.19.79:28983 | 87ms
143.42.66.91:443 | 96ms
164.52.2.100:443 | 99ms
164.52.2.99:443 | 93ms
164.52.2.98:443 | 89ms
168.138.171.70:23280 | 91ms
168.138.165.174:443 | 88ms
185.81.28.95:30503 | 105ms
194.36.179.17:2053 | 73ms
194.36.179.17:8443 | 88ms
213.35.100.31:47112 | 90ms
3.1.116.161:2053 | 111ms
3.1.116.161:8443 | 78ms
43.156.116.194:443 | 110ms
43.156.181.203:443 | 88ms
51.79.158.58:2053 | 88ms
5.34.176.119:81 | 83ms
13.250.131.37:443 | 104ms

# 📊 Statistics
# Total Tested: 33
# Working: 33
# Dead: 0
# Success Rate: 100%
# Validated: Sat May  2 20:41:05 UTC 2026
