# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun May  3 20:41:33 UTC 2026

38.60.193.247:13300 | 162ms
47.74.254.191:8900 | 81ms
129.150.58.86:57621 | 78ms
146.235.18.248:45137 | 75ms
138.2.89.238:43254 | 74ms
213.35.108.135:12596 | 67ms
178.128.80.43:443 | 101ms
194.127.193.240:50791 | 66ms
138.2.74.219:28616 | 69ms
129.150.36.188:53435 | 84ms
138.2.95.61:1111 | 62ms
45.76.183.217:49292 | 68ms
91.192.81.154:2053 | 65ms
104.248.145.216:443 | 70ms
143.42.66.91:443 | 69ms
146.235.19.79:28983 | 66ms
164.52.2.100:443 | 74ms
164.52.2.98:443 | 66ms
164.52.2.99:443 | 73ms
168.138.171.70:23280 | 65ms
168.138.165.174:443 | 64ms
185.81.28.95:30503 | 65ms
194.36.179.17:2053 | 69ms
194.36.179.17:8443 | 64ms
213.35.100.31:47112 | 59ms
3.1.116.161:2053 | 64ms
3.1.116.161:8443 | 61ms
43.156.116.194:443 | 64ms
43.156.181.203:443 | 67ms
5.34.176.119:81 | 65ms

# 📊 Statistics
# Total Tested: 30
# Working: 30
# Dead: 0
# Success Rate: 100%
# Validated: Sun May  3 20:41:42 UTC 2026
