# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed May  6 22:52:28 UTC 2026

38.60.193.247:13300 | 98ms
47.74.254.191:8900 | 76ms
129.150.58.86:57621 | 65ms
146.235.18.248:45137 | 70ms
138.2.89.238:43254 | 91ms
213.35.108.135:12596 | 65ms
194.127.193.240:50791 | 67ms
178.128.80.43:443 | 72ms
138.2.74.219:28616 | 72ms
129.150.36.188:53435 | 76ms
138.2.95.61:1111 | 91ms
45.76.183.217:49292 | 77ms
91.192.81.154:2053 | 81ms
104.248.145.216:443 | 71ms
146.235.19.79:28983 | 75ms
164.52.2.100:443 | 72ms
164.52.2.98:443 | 69ms
143.42.66.91:443 | 71ms
164.52.2.99:443 | 66ms
168.138.171.70:23280 | 69ms
168.138.165.174:443 | 79ms
185.81.28.95:30503 | 74ms
194.36.179.17:2053 | 72ms
194.36.179.17:8443 | 67ms
3.1.116.161:8443 | 79ms
3.1.116.161:2053 | 66ms
43.156.116.194:443 | 69ms
43.156.181.203:443 | 65ms
5.34.176.119:81 | 67ms
91.192.81.154:8443 | 70ms
13.250.131.37:443 | 69ms

# 📊 Statistics
# Total Tested: 31
# Working: 31
# Dead: 0
# Success Rate: 100%
# Validated: Wed May  6 22:52:37 UTC 2026
