# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue May 12 20:03:43 UTC 2026

38.60.193.247:13300 | 87ms
47.74.254.191:8900 | 66ms
146.235.18.248:45137 | 70ms
138.2.89.238:43254 | 75ms
213.35.108.135:12596 | 53ms
138.2.74.219:28616 | 66ms
129.150.36.188:53435 | 66ms
138.2.95.61:1111 | 62ms
45.76.183.217:49292 | 54ms
91.192.81.154:2053 | 78ms
104.248.145.216:443 | 78ms
146.235.19.79:28983 | 52ms
164.52.2.100:443 | 72ms
164.52.2.98:443 | 58ms
168.138.171.70:23280 | 64ms
164.52.2.99:443 | 58ms
168.138.165.174:443 | 57ms
185.81.28.95:30503 | 52ms
194.36.179.17:2053 | 61ms
194.36.179.17:8443 | 70ms
3.1.116.161:2053 | 55ms
3.1.116.161:8443 | 60ms
43.156.116.194:443 | 59ms
143.42.66.91:443 | 58ms
13.250.131.37:443 | 82ms
5.34.176.119:81 | 55ms
43.156.181.203:443 | 61ms

# 📊 Statistics
# Total Tested: 27
# Working: 27
# Dead: 0
# Success Rate: 100%
# Validated: Tue May 12 20:03:51 UTC 2026
