# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri May 15 22:53:19 UTC 2026

38.60.193.247:13300 | 82ms
47.74.254.191:8900 | 63ms
146.235.18.248:45137 | 71ms
138.2.89.238:43254 | 69ms
213.35.108.135:12596 | 73ms
138.2.74.219:28616 | 54ms
129.150.36.188:53435 | 52ms
138.2.95.61:1111 | 72ms
45.76.183.217:49292 | 53ms
91.192.81.154:2053 | 52ms
104.248.145.216:443 | 52ms
146.235.19.79:28983 | 52ms
143.42.66.91:443 | 56ms
164.52.2.100:443 | 57ms
164.52.2.99:443 | 66ms
164.52.2.98:443 | 72ms
168.138.171.70:23280 | 54ms
168.138.165.174:443 | 49ms
185.81.28.95:30503 | 54ms
194.36.179.17:2053 | 64ms
194.36.179.17:8443 | 51ms
3.1.116.161:2053 | 47ms
3.1.116.161:8443 | 52ms
43.156.116.194:443 | 48ms
43.156.181.203:443 | 57ms
5.34.176.119:81 | 47ms
13.250.131.37:443 | 50ms

# 📊 Statistics
# Total Tested: 27
# Working: 27
# Dead: 0
# Success Rate: 100%
# Validated: Fri May 15 22:53:26 UTC 2026
