# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu May 21 23:02:38 UTC 2026

38.60.193.247:13300 | 109ms
47.74.254.191:8900 | 52ms
146.235.18.248:45137 | 67ms
213.35.108.135:12596 | 61ms
138.2.89.238:43254 | 65ms
138.2.74.219:28616 | 60ms
129.150.36.188:53435 | 77ms
138.2.95.61:1111 | 58ms
45.76.183.217:49292 | 52ms
91.192.81.154:2053 | 54ms
104.248.145.216:443 | 52ms
143.42.66.91:443 | 59ms
146.235.19.79:28983 | 82ms
164.52.2.100:443 | 68ms
164.52.2.98:443 | 57ms
164.52.2.99:443 | 81ms
168.138.171.70:23280 | 55ms
168.138.165.174:443 | 56ms
3.1.116.161:2053 | 56ms
3.1.116.161:8443 | 58ms
43.156.116.194:443 | 50ms
43.156.181.203:443 | 55ms
5.34.176.119:81 | 51ms

# 📊 Statistics
# Total Tested: 23
# Working: 23
# Dead: 0
# Success Rate: 100%
# Validated: Thu May 21 23:02:44 UTC 2026
