# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun May 24 22:57:12 UTC 2026

38.60.193.247:13300 | 74ms
47.74.254.191:8900 | 63ms
146.235.18.248:45137 | 52ms
138.2.89.238:43254 | 50ms
213.35.108.135:12596 | 51ms
138.2.74.219:28616 | 56ms
129.150.36.188:53435 | 52ms
138.2.95.61:1111 | 46ms
45.76.183.217:49292 | 64ms
91.192.81.154:2053 | 49ms
104.248.145.216:443 | 54ms
146.235.19.79:28983 | 65ms
143.42.66.91:443 | 56ms
164.52.2.100:443 | 55ms
164.52.2.98:443 | 49ms
168.138.171.70:23280 | 58ms
164.52.2.99:443 | 49ms
168.138.165.174:443 | 53ms
194.36.179.17:2053 | 50ms
213.35.100.31:47112 | 60ms
194.36.179.17:8443 | 50ms
3.1.116.161:2053 | 58ms
3.1.116.161:8443 | 53ms
43.156.116.194:443 | 49ms
43.156.181.203:443 | 51ms
5.34.176.119:81 | 47ms
13.250.131.37:443 | 46ms
91.192.81.154:8443 | 54ms

# 📊 Statistics
# Total Tested: 28
# Working: 28
# Dead: 0
# Success Rate: 100%
# Validated: Sun May 24 22:57:20 UTC 2026
