# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sat May 30 22:56:41 UTC 2026

38.60.193.247:13300 | 221ms
47.74.254.191:8900 | 71ms
146.235.18.248:45137 | 71ms
138.2.89.238:43254 | 75ms
213.35.108.135:12596 | 83ms
138.2.74.219:28616 | 72ms
129.150.36.188:53435 | 74ms
138.2.95.61:1111 | 65ms
45.76.183.217:49292 | 66ms
104.248.145.216:443 | 73ms
146.235.19.79:28983 | 67ms
91.192.81.154:2053 | 78ms
143.42.66.91:443 | 71ms
164.52.2.100:443 | 70ms
164.52.2.99:443 | 71ms
164.52.2.98:443 | 73ms
168.138.171.70:23280 | 88ms
194.36.179.17:2053 | 68ms
194.36.179.17:8443 | 71ms
213.35.100.31:47112 | 69ms
3.1.116.161:2053 | 72ms
3.1.116.161:8443 | 81ms
43.156.181.203:443 | 65ms
168.138.165.174:443 | 64ms
5.34.176.119:81 | 64ms

# 📊 Statistics
# Total Tested: 25
# Working: 25
# Dead: 0
# Success Rate: 100%
# Validated: Sat May 30 22:56:49 UTC 2026
