# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Tue Jun  2 22:22:05 UTC 2026

38.60.193.247:13300 | 94ms
47.74.254.191:8900 | 65ms
146.235.18.248:45137 | 62ms
138.2.89.238:43254 | 55ms
213.35.108.135:12596 | 75ms
138.2.74.219:28616 | 71ms
129.150.36.188:53435 | 68ms
138.2.95.61:1111 | 57ms
45.76.183.217:49292 | 67ms
104.248.145.216:443 | 64ms
146.235.19.79:28983 | 77ms
164.52.2.100:443 | 59ms
143.42.66.91:443 | 64ms
164.52.2.99:443 | 54ms
164.52.2.98:443 | 59ms
168.138.171.70:23280 | 58ms
168.138.165.174:443 | 79ms
194.36.179.17:2053 | 59ms
194.36.179.17:8443 | 55ms
213.35.100.31:47112 | 58ms
3.1.116.161:2053 | 51ms
3.1.116.161:8443 | 74ms
43.156.116.194:443 | 53ms
43.156.181.203:443 | 53ms
5.34.176.119:81 | 67ms

# 📊 Statistics
# Total Tested: 25
# Working: 25
# Dead: 0
# Success Rate: 100%
# Validated: Tue Jun  2 22:22:12 UTC 2026
