# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Thu Jun  4 23:08:32 UTC 2026

38.60.193.247:13300 | 163ms
47.74.254.191:8900 | 67ms
146.235.18.248:45137 | 66ms
138.2.89.238:43254 | 82ms
138.2.74.219:28616 | 80ms
129.150.36.188:53435 | 67ms
138.2.95.61:1111 | 75ms
45.76.183.217:49292 | 72ms
143.42.66.91:443 | 68ms
164.52.2.100:443 | 71ms
164.52.2.98:443 | 72ms
164.52.2.99:443 | 71ms
168.138.171.70:23280 | 67ms
168.138.165.174:443 | 71ms
194.36.179.17:2053 | 68ms
194.36.179.17:8443 | 74ms
213.35.100.31:47112 | 81ms
43.156.116.194:443 | 75ms
43.156.181.203:443 | 90ms
5.34.176.119:81 | 72ms

# 📊 Statistics
# Total Tested: 20
# Working: 20
# Dead: 0
# Success Rate: 100%
# Validated: Thu Jun  4 23:08:38 UTC 2026
