# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Jun  5 16:28:58 UTC 2026

38.60.193.247:13300 | 138ms
47.74.254.191:8900 | 115ms
146.235.18.248:45137 | 114ms
213.35.108.135:12596 | 85ms
138.2.89.238:43254 | 89ms
138.2.74.219:28616 | 96ms
129.150.36.188:53435 | 95ms
138.2.95.61:1111 | 103ms
45.76.183.217:49292 | 88ms
91.192.81.154:2053 | 87ms
143.42.66.91:443 | 152ms
164.52.2.100:443 | 183ms
164.52.2.98:443 | 120ms
164.52.2.99:443 | 82ms
168.138.171.70:23280 | 95ms
168.138.165.174:443 | 95ms
194.36.179.17:2053 | 102ms
213.35.100.31:47112 | 89ms
194.36.179.17:8443 | 87ms
43.156.116.194:443 | 107ms
43.156.181.203:443 | 107ms
5.34.176.119:81 | 101ms
91.192.81.154:8443 | 76ms
13.250.131.37:443 | 79ms

# 📊 Statistics
# Total Tested: 24
# Working: 24
# Dead: 0
# Success Rate: 100%
# Validated: Fri Jun  5 16:29:06 UTC 2026
