# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Sun Jun  7 23:04:23 UTC 2026

38.60.193.247:13300 | 114ms
47.74.254.191:8900 | 79ms
146.235.18.248:45137 | 81ms
138.2.89.238:43254 | 69ms
213.35.108.135:12596 | 91ms
138.2.74.219:28616 | 68ms
129.150.36.188:53435 | 99ms
138.2.95.61:1111 | 87ms
45.76.183.217:49292 | 74ms
91.192.81.154:2053 | 69ms
164.52.2.100:443 | 72ms
164.52.2.98:443 | 88ms
164.52.2.99:443 | 71ms
168.138.171.70:23280 | 65ms
168.138.165.174:443 | 76ms
194.36.179.17:2053 | 72ms
194.36.179.17:8443 | 75ms
213.35.100.31:47112 | 69ms
143.42.66.91:443 | 73ms
43.156.116.194:443 | 74ms
43.156.181.203:443 | 68ms
5.34.176.119:81 | 70ms
13.250.131.37:443 | 74ms

# 📊 Statistics
# Total Tested: 23
# Working: 23
# Dead: 0
# Success Rate: 100%
# Validated: Sun Jun  7 23:04:29 UTC 2026
