# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Mon Jun  8 23:11:15 UTC 2026

38.60.193.247:13300 | 114ms
47.74.254.191:8900 | 84ms
146.235.18.248:45137 | 77ms
213.35.108.135:12596 | 56ms
138.2.89.238:43254 | 68ms
138.2.74.219:28616 | 58ms
129.150.36.188:53435 | 72ms
138.2.95.61:1111 | 78ms
45.76.183.217:49292 | 80ms
91.192.81.154:2053 | 54ms
143.42.66.91:443 | 64ms
164.52.2.100:443 | 60ms
164.52.2.98:443 | 51ms
164.52.2.99:443 | 52ms
168.138.171.70:23280 | 61ms
168.138.165.174:443 | 55ms
194.36.179.17:2053 | 58ms
194.36.179.17:8443 | 55ms
213.35.100.31:47112 | 57ms
43.156.116.194:443 | 61ms
43.156.181.203:443 | 63ms
5.34.176.119:81 | 62ms
13.250.131.37:443 | 66ms

# 📊 Statistics
# Total Tested: 23
# Working: 23
# Dead: 0
# Success Rate: 100%
# Validated: Mon Jun  8 23:11:22 UTC 2026
