# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Wed Jun 10 23:24:25 UTC 2026

38.60.193.247:13300 | 154ms
47.74.254.191:8900 | 94ms
146.235.18.248:45137 | 125ms
138.2.89.238:43254 | 104ms
213.35.108.135:12596 | 142ms
138.2.74.219:28616 | 83ms
129.150.36.188:53435 | 121ms
138.2.95.61:1111 | 114ms
45.76.183.217:49292 | 100ms
91.192.81.154:2053 | 96ms
143.42.66.91:443 | 104ms
164.52.2.99:443 | 101ms
168.138.171.70:23280 | 92ms
168.138.165.174:443 | 98ms
194.36.179.17:2053 | 102ms
194.36.179.17:8443 | 87ms
213.35.100.31:47112 | 113ms
43.156.116.194:443 | 95ms
43.156.181.203:443 | 113ms
5.34.176.119:81 | 108ms
91.192.81.154:8443 | 99ms
13.250.131.37:443 | 79ms
164.52.2.100:443 | 96ms
164.52.2.98:443 | 82ms

# 📊 Statistics
# Total Tested: 24
# Working: 24
# Dead: 0
# Success Rate: 100%
# Validated: Wed Jun 10 23:24:33 UTC 2026
