# 🟢 WORKING Proxies (API Validated)
# API: cf-workers-checkproxyip.pages.dev
# Validated: Fri Jun 12 20:10:15 UTC 2026

38.60.193.247:13300 | 73ms
47.74.254.191:8900 | 62ms
146.235.18.248:45137 | 63ms
138.2.89.238:43254 | 67ms
213.35.108.135:12596 | 54ms
138.2.74.219:28616 | 74ms
129.150.36.188:53435 | 69ms
138.2.95.61:1111 | 54ms
45.76.183.217:49292 | 48ms
91.192.81.154:2053 | 62ms
143.42.66.91:443 | 52ms
164.52.2.100:443 | 58ms
164.52.2.98:443 | 48ms
164.52.2.99:443 | 52ms
168.138.171.70:23280 | 53ms
168.138.165.174:443 | 69ms
213.35.100.31:47112 | 56ms
43.156.181.203:443 | 59ms
5.34.176.119:81 | 52ms
13.250.131.37:443 | 53ms
91.192.81.154:8443 | 61ms
43.156.116.194:443 | 54ms

# 📊 Statistics
# Total Tested: 22
# Working: 22
# Dead: 0
# Success Rate: 100%
# Validated: Fri Jun 12 20:10:21 UTC 2026
